Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 23.303142, 375, 0, 28.517979
1, 272, 21.927640, 492, 0, 21.379166
2, 340, 21.404824, 427, 0, 17.561321
3, 414, 20.338250, 711, 0, 15.740341
4, 460, 20.281965, 559, 0, 15.056653
5, 524, 19.660852, 687, 0, 14.119471
6, 602, 19.810064, 738, 0, 14.174841
7, 678, 19.438167, 759, 0, 14.309264
8, 724, 18.894574, 1150, 0, 14.902502
9, 800, 18.890909, 954, 0, 14.591707
10, 884, 18.500036, 1077, 0, 14.579697
11, 918, 18.293337, 1136, 0, 14.866646
12, 954, 18.673501, 1311, 0, 14.479374
13, 978, 18.597759, 1212, 0, 14.485796
14, 1004, 18.520740, 1193, 0, 14.567649
15, 1036, 18.488194, 1602, 0, 14.464559
16, 1114, 18.574942, 1542, 0, 14.560273
17, 1168, 18.726662, 1768, 0, 14.915138
18, 1212, 18.332269, 1483, 0, 14.545629
19, 1254, 18.262186, 1729, 0, 14.506260
20, 1316, 18.203863, 2075, 0, 14.638914
21, 1394, 17.945764, 1981, 0, 14.699225
22, 1432, 17.632925, 2272, 0, 14.746007
23, 1470, 17.780693, 1933, 0, 14.945005
24, 1514, 17.469245, 2259, 0, 14.679261
25, 1542, 17.401465, 2126, 0, 14.379384
26, 1554, 17.152655, 2464, 0, 14.458943
27, 1592, 17.000827, 2304, 0, 14.492180
28, 1604, 17.204845, 2095, 0, 14.573509
29, 1616, 17.183607, 2424, 0, 14.948469
30, 1648, 17.202936, 2261, 0, 14.855807
31, 1666, 17.225834, 2451, 0, 14.930767
32, 1690, 17.220322, 2312, 0, 14.538764
33, 1746, 16.815616, 2610, 0, 14.803137
34, 1778, 16.821617, 2774, 0, 15.017948
35, 1842, 16.651641, 2458, 0, 15.147495
36, 1848, 16.806278, 2619, 0, 14.931730
37, 1892, 16.650344, 2730, 0, 14.662200
38, 1908, 16.566587, 2738, 0, 14.738383
39, 1944, 16.546995, 2898, 0, 14.907363
40, 1986, 16.527290, 2480, 0, 14.784856
41, 1984, 16.701122, 2695, 0, 14.779668
42, 1964, 16.641752, 2772, 0, 14.952276
43, 1970, 16.483856, 2489, 0, 15.026551
44, 1982, 16.427067, 2708, 0, 15.000767
45, 1992, 16.452980, 2533, 0, 14.920671
46, 1980, 16.602603, 2641, 0, 14.962906
47, 1992, 16.346805, 2811, 0, 14.979370
48, 2032, 16.491124, 2634, 0, 14.892684
49, 2082, 16.236714, 3066, 0, 15.071840
50, 2068, 16.371882, 2893, 0, 14.750040
51, 2076, 16.245208, 2761, 0, 14.471310
52, 2078, 16.495292, 3105, 0, 14.705152
53, 2062, 16.399470, 2823, 0, 14.711110
54, 2080, 16.193614, 2576, 0, 14.810463
55, 2084, 16.163101, 2793, 0, 14.746879
56, 2106, 16.211428, 2870, 0, 14.840901
57, 2086, 16.359529, 2564, 0, 14.712377
58, 2080, 16.404366, 2861, 0, 14.864437
59, 2094, 16.224667, 2573, 0, 14.847002
60, 2134, 16.198472, 2903, 0, 14.638455
61, 2126, 16.291793, 3179, 0, 15.032249
62, 2128, 16.102450, 2987, 0, 14.894399
63, 2126, 16.252409, 2872, 0, 14.853991
64, 2122, 16.188660, 2896, 0, 14.894926
65, 2112, 16.222581, 2802, 0, 14.873379
66, 2110, 16.209741, 2995, 0, 15.169864
67, 2104, 16.144655, 2967, 0, 15.141706
68, 2090, 15.911334, 2674, 0, 14.949401
69, 2110, 15.898870, 3169, 0, 14.931182
70, 2134, 15.968593, 2933, 0, 14.810159
71, 2138, 16.070566, 2629, 0, 14.656272
72, 2134, 16.048539, 2985, 0, 14.564558
73, 2132, 16.144686, 2943, 0, 14.888463
74, 2136, 15.925139, 2749, 0, 15.056352
75, 2140, 15.987293, 3036, 0, 14.972259
76, 2122, 15.974902, 3027, 0, 14.840384
77, 2104, 15.892926, , 1, 14.667256
