Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.216400, 624, 0, 0.000000
1, 501, 0.543747, 526, 0, 0.000000
2, 501, 0.519701, 455, 0, 0.000000
3, 502, 0.449266, 420, 0, 0.000000
4, 502, 0.399570, 434, 0, 0.000000
5, 502, 0.370498, 599, 0, 0.000000
6, 503, 0.323463, 376, 0, 0.000000
7, 504, 0.309180, 380, 0, 0.000000
8, 505, 0.290315, 509, 0, 0.000000
9, 505, 0.305200, 421, 0, 0.000000
10, 505, 0.278727, 471, 0, 0.000000
11, 505, 0.322098, 386, 0, 0.000000
12, 505, 0.309703, 418, 0, 0.000000
13, 506, 0.286224, 449, 0, 0.000000
14, 507, 0.267382, 473, 0, 0.000000
15, 508, 0.349695, 449, 0, 0.000000
16, 508, 0.339396, 491, 0, 0.000000
17, 508, 0.311875, 601, 0, 0.000000
18, 508, 0.313813, 410, 0, 0.000000
19, 508, 0.335672, 489, 0, 0.000000
20, 509, 0.329496, , 1, 0.000000
