Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 23.660021, 282, 0, 29.676706
1, 256, 23.303472, 291, 0, 23.325800
2, 320, 23.106170, 489, 0, 18.509877
3, 424, 23.162521, 508, 0, 17.141679
4, 536, 23.071594, 659, 0, 15.606293
5, 682, 22.792717, 977, 0, 15.116932
6, 788, 22.523500, 947, 0, 14.841158
7, 896, 22.251128, 1218, 0, 14.661648
8, 982, 21.955378, 1633, 0, 14.777576
9, 1122, 21.713562, 1243, 0, 14.869522
10, 1268, 21.409303, 1323, 0, 14.767233
11, 1422, 21.090899, 1737, 0, 14.858847
12, 1546, 21.029006, 1668, 0, 15.071717
13, 1664, 20.731376, 2114, 0, 15.164051
14, 1860, 20.616060, 2020, 0, 14.944557
15, 1986, 20.184624, 2299, 0, 15.006847
16, 2150, 19.911842, 2583, 0, 15.168624
17, 2358, 19.766032, 2800, 0, 15.016045
18, 2558, 19.776773, , 1, 14.959455
