Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 23.234376, 252, 0, 28.604777
1, 236, 21.320450, 228, 0, 29.135933
2, 272, 20.891645, 300, 0, 29.590491
3, 310, 19.907714, 317, 0, 29.553738
4, 376, 19.519362, 402, 0, 28.984678
5, 450, 19.380426, 423, 0, 28.781091
6, 482, 19.023422, 490, 0, 27.959688
7, 522, 19.160626, 577, 0, 27.123372
8, 530, 19.124086, 494, 0, 27.721362
9, 560, 18.722568, 525, 0, 27.667207
10, 592, 18.447970, 592, 0, 27.971226
11, 612, 18.639319, 589, 0, 27.980376
12, 634, 18.376792, 666, 0, 27.098965
13, 672, 18.164696, 675, 0, 27.749783
14, 710, 18.097319, 753, 0, 27.776888
15, 720, 18.152369, 975, 0, 28.008763
16, 752, 18.013179, 795, 0, 28.294737
17, 762, 17.800800, 797, 0, 28.564933
18, 794, 17.916057, 805, 0, 27.569471
19, 834, 17.946053, 865, 0, 27.999660
20, 876, 17.888573, 830, 0, 28.260437
21, 884, 17.971802, 1012, 0, 28.602276
22, 914, 17.739667, 869, 0, 28.343931
23, 942, 17.815666, 856, 0, 28.713031
24, 978, 17.868501, 914, 0, 28.679671
25, 1004, 18.180237, 914, 0, 28.612066
26, 1022, 17.724377, 927, 0, 28.768557
27, 1042, 17.739175, 1107, 0, 27.902307
28, 1088, 17.679769, 1054, 0, 28.660112
29, 1120, 17.668552, 1076, 0, 28.597198
30, 1158, 17.309545, 990, 0, 28.523204
31, 1182, 17.415811, 1168, 0, 28.341003
32, 1186, 17.260864, 1066, 0, 27.849839
33, 1196, 17.412541, 1090, 0, 28.218377
34, 1240, 16.979744, 1157, 0, 28.393087
35, 1278, 16.841906, 1186, 0, 28.076462
36, 1334, 16.681584, 1339, 0, 27.716865
37, 1362, 16.577124, 1312, 0, 28.557059
38, 1408, 16.472102, 1344, 0, 28.587740
39, 1458, 16.521457, 1401, 0, 28.037449
40, 1472, 16.287067, 1365, 0, 28.032435
41, 1516, 16.392621, 1394, 0, 28.123302
42, 1530, 16.282098, 1421, 0, 28.186475
43, 1550, 16.233519, 1536, 0, 28.097592
44, 1544, 16.066537, 1447, 0, 28.387986
45, 1588, 16.430180, 1438, 0, 28.326489
46, 1560, 16.391111, 1611, 0, 28.453921
47, 1562, 16.257331, 1849, 0, 28.438731
48, 1542, 16.136939, 1738, 0, 28.400273
49, 1566, 16.243701, 1507, 0, 28.637614
50, 1582, 16.222903, 1717, 0, 28.684214
51, 1582, 16.269907, 1745, 0, 28.760165
52, 1592, 16.288525, 1869, 0, 28.419731
53, 1608, 16.085530, 2025, 0, 28.446809
54, 1614, 16.064953, 1558, 0, 28.430715
55, 1620, 16.082496, 1557, 0, 29.090064
56, 1624, 15.971082, 1666, 0, 29.422218
57, 1620, 15.954193, , 1, 29.168103
