Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 16.556506, 258, 0, 29.011924
1, 224, 19.499664, 281, 0, 22.936114
2, 298, 19.830674, 320, 0, 19.652587
3, 356, 20.403073, 373, 0, 16.224515
4, 410, 20.116395, 582, 0, 15.610916
5, 480, 19.484647, 484, 0, 14.774306
6, 540, 19.929879, 585, 0, 15.125300
7, 582, 19.537644, 539, 0, 15.049551
8, 596, 19.685849, 565, 0, 15.296385
9, 636, 19.601568, 601, 0, 15.074669
10, 660, 20.061057, 745, 0, 14.612503
11, 708, 19.623224, 861, 0, 14.526227
12, 770, 19.865224, 789, 0, 14.541279
13, 884, 20.245632, 915, 0, 14.875664
14, 1002, 20.322928, 1123, 0, 15.016093
15, 1076, 20.328960, 1165, 0, 14.520957
16, 1178, 20.412817, 1475, 0, 15.052174
17, 1270, 20.571719, 1311, 0, 15.201036
18, 1354, 20.465829, 1586, 0, 14.799829
19, 1486, 20.475232, 1906, 0, 14.984129
20, 1590, 20.303538, 1853, 0, 14.645099
21, 1650, 20.428646, 1988, 0, 14.532081
22, 1692, 20.559725, 1922, 0, 14.531455
23, 1744, 20.295319, 1864, 0, 14.693309
24, 1808, 20.293805, 2003, 0, 14.967610
25, 1858, 20.082207, 2009, 0, 15.130551
26, 1926, 20.388951, 2293, 0, 14.898844
27, 1968, 20.409929, 2031, 0, 14.907571
28, 2036, 20.196984, 2388, 0, 15.174297
29, 2110, 20.228814, 2283, 0, 15.197255
30, 2152, 19.950466, 2438, 0, 15.243230
31, 2170, 20.136598, 2470, 0, 15.124362
32, 2232, 20.318879, 2484, 0, 14.880493
33, 2286, 20.242270, 2490, 0, 15.158905
34, 2314, 20.210151, 2636, 0, 15.026675
35, 2320, 20.180148, 2723, 0, 14.730990
36, 2390, 20.146745, 2740, 0, 14.779851
37, 2432, 20.452338, 2773, 0, 14.765293
38, 2484, 20.140308, 2943, 0, 15.044980
39, 2522, 20.141996, 2862, 0, 14.512326
40, 2530, 19.964788, 2926, 0, 14.670315
41, 2566, 20.089036, 2995, 0, 14.739509
42, 2602, 20.132075, 3015, 0, 14.634569
43, 2608, 20.056242, 3081, 0, 14.976116
44, 2630, 19.920742, 3215, 0, 14.622067
45, 2636, 19.953208, 3164, 0, 14.837710
46, 2704, 20.109499, , 1, 14.943893
