Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
0, 500, 0.000000, 397, 0
1, 500, 0.000000, 488, 0
2, 500, 0.000000, 400, 0
3, 500, 0.000001, 456, 0
4, 500, 0.000001, 521, 0
5, 501, 0.000001, 391, 0
6, 501, 0.000001, 272, 0
7, 502, 0.000000, 326, 0
8, 502, 0.000000, 316, 0
9, 502, 0.000000, 309, 0
10, 503, 0.000000, 398, 0
11, 503, 0.000000, 356, 0
12, 504, 0.000000, 337, 0
13, 504, 0.000000, 355, 0
14, 505, 0.000000, 356, 0
15, 505, 0.000000, 351, 0
16, 505, 0.000000, 262, 0
17, 506, 0.000000, 310, 0
18, 507, 0.000000, 331, 0
19, 507, 0.000000, 294, 0
20, 508, 0.000000, 338, 0
21, 508, 0.000000, 379, 0
22, 509, 0.000000, 467, 0
23, 510, 0.000000, 460, 0
24, 511, 0.000000, 370, 0
25, 512, 0.000000, 370, 0
26, 512, 0.000000, 255, 0
27, 512, 0.000000, 357, 0
28, 512, 0.000000, 287, 0
29, 512, 0.000000, 295, 0
30, 512, 0.000000, 263, 0
31, 512, 0.000000, 321, 0
32, 512, 0.000000, 250, 0
33, 512, 0.000000, 323, 0
34, 512, 0.000001, 253, 0
35, 512, 0.000001, 435, 0
36, 512, 0.000001, , 1
