Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 31.125265, 111, 0, 29.145969
1, 72, 31.262682, 62, 0, 27.236869
2, 78, 31.059631, 71, 0, 27.210969
3, 86, 30.775591, 92, 0, 28.285037
4, 98, 30.804778, 75, 0, 28.113305
5, 102, 30.735973, 72, 0, 29.480044
6, 100, 29.416891, 92, 0, 29.669430
7, 110, 29.606033, 81, 0, 29.012618
8, 110, 29.232598, 82, 0, 27.984794
9, 124, 30.004012, 89, 0, 29.776585
10, 134, 29.495006, 111, 0, 30.010244
11, 146, 29.391064, 101, 0, 28.551688
12, 158, 29.316157, 104, 0, 28.305000
13, 166, 28.922290, 125, 0, 28.917109
14, 178, 28.273356, 122, 0, 28.735475
15, 200, 27.827221, , 1, 29.309178
