Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.573922, 643, 0, 0.000000
1, 500, 0.696846, 768, 0, 0.000000
2, 500, 0.675958, 787, 0, 0.000000
3, 500, 0.659987, 493, 0, 0.000000
4, 501, 0.621730, 486, 0, 0.000000
5, 501, 0.629848, 378, 0, 0.000000
6, 502, 0.629792, 477, 0, 0.000000
7, 502, 0.627980, 485, 0, 0.000000
8, 503, 0.627429, 444, 0, 0.000000
9, 504, 0.614207, 466, 0, 0.000000
10, 505, 0.604662, 494, 0, 0.000000
11, 505, 0.620247, 519, 0, 0.000000
12, 505, 0.611899, 561, 0, 0.000000
13, 506, 0.604080, 497, 0, 0.000000
14, 506, 0.628645, 484, 0, 0.000000
15, 507, 0.611926, 687, 0, 0.000000
16, 508, 0.583008, 480, 0, 0.000000
17, 509, 0.619510, 501, 0, 0.000000
18, 510, 0.577630, 475, 0, 0.000000
19, 510, 0.561273, 563, 0, 0.000000
20, 510, 0.596629, 478, 0, 0.000000
21, 511, 0.609677, 541, 0, 0.000000
22, 512, 0.613419, 575, 0, 0.000000
23, 512, 0.589088, 537, 0, 0.000000
24, 512, 0.604270, 533, 0, 0.000000
25, 513, 0.608820, 574, 0, 0.000000
26, 513, 0.595476, 686, 0, 0.000000
27, 514, 0.550858, 490, 0, 0.000000
28, 514, 0.628315, 583, 0, 0.000000
29, 514, 0.571395, 719, 0, 0.000000
30, 514, 0.586123, 476, 0, 0.000000
31, 515, 0.604439, 598, 0, 0.000000
32, 515, 0.618069, 507, 0, 0.000000
33, 515, 0.597129, 641, 0, 0.000000
34, 516, 0.605984, 679, 0, 0.000000
35, 517, 0.607419, 519, 0, 0.000000
36, 518, 0.618043, 646, 0, 0.000000
37, 519, 0.585185, 583, 0, 0.000000
38, 519, 0.585396, 562, 0, 0.000000
39, 520, 0.552867, 703, 0, 0.000000
40, 520, 0.579637, 561, 0, 0.000000
41, 521, 0.583196, 654, 0, 0.000000
42, 521, 0.587244, 549, 0, 0.000000
43, 521, 0.586361, 587, 0, 0.000000
44, 521, 0.597234, 635, 0, 0.000000
45, 521, 0.578747, 613, 0, 0.000000
46, 521, 0.530645, 651, 0, 0.000000
47, 521, 0.561730, 632, 0, 0.000000
48, 521, 0.607677, 604, 0, 0.000000
49, 522, 0.528245, 705, 0, 0.000000
50, 523, 0.588118, 591, 0, 0.000000
51, 524, 0.554946, 616, 0, 0.000000
52, 524, 0.572806, 660, 0, 0.000000
53, 524, 0.556686, 574, 0, 0.000000
54, 524, 0.579023, 618, 0, 0.000000
55, 525, 0.578993, 736, 0, 0.000000
56, 525, 0.593686, 521, 0, 0.000000
57, 526, 0.629330, 614, 0, 0.000000
58, 526, 0.577459, 638, 0, 0.000000
59, 526, 0.563105, 718, 0, 0.000000
60, 527, 0.388192, 603, 0, 0.000000
61, 528, 0.320763, 631, 0, 0.000000
62, 529, 0.295277, 679, 0, 0.000000
63, 529, 0.276832, 763, 0, 0.000000
64, 529, 0.236694, 818, 0, 0.000000
65, 529, 0.240466, 709, 0, 0.000000
66, 530, 0.224594, 584, 0, 0.000000
67, 530, 0.252929, 797, 0, 0.000000
68, 531, 0.305256, 651, 0, 0.000000
69, 532, 0.263635, 612, 0, 0.000000
70, 533, 0.288609, 647, 0, 0.000000
71, 533, 0.295959, 689, 0, 0.000000
72, 533, 0.276189, 532, 0, 0.000000
73, 534, 0.284144, 771, 0, 0.000000
74, 534, 0.302971, 670, 0, 0.000000
75, 534, 0.300701, 592, 0, 0.000000
76, 534, 0.314431, 781, 0, 0.000000
77, 535, 0.245514, 614, 0, 0.000000
78, 536, 0.238319, 710, 0, 0.000000
79, 537, 0.290448, 746, 0, 0.000000
80, 538, 0.249082, 689, 0, 0.000000
81, 538, 0.309114, 702, 0, 0.000000
82, 538, 0.238517, 844, 0, 0.000000
83, 538, 0.250490, 622, 0, 0.000000
84, 539, 0.243637, 835, 0, 0.000000
85, 539, 0.217924, 752, 0, 0.000000
86, 539, 0.253600, 756, 0, 0.000000
87, 539, 0.259577, 898, 0, 0.000000
88, 539, 0.255100, 666, 0, 0.000000
89, 540, 0.236585, 921, 0, 0.000000
90, 541, 0.255379, 744, 0, 0.000000
91, 542, 0.217515, 847, 0, 0.000000
92, 542, 0.262240, 846, 0, 0.000000
93, 543, 0.206800, 736, 0, 0.000000
94, 543, 0.252703, 828, 0, 0.000000
95, 544, 0.246003, 824, 0, 0.000000
96, 544, 0.242510, 946, 0, 0.000000
97, 545, 0.211296, 759, 0, 0.000000
98, 545, 0.212262, 810, 0, 0.000000
99, 546, 0.220644, 960, 0, 0.000000
100, 546, 0.259631, 761, 0, 0.000000
101, 546, 0.243669, 927, 0, 0.000000
102, 547, 0.172678, 759, 0, 0.000000
103, 548, 0.221198, 926, 0, 0.000000
104, 549, 0.219702, 899, 0, 0.000000
105, 549, 0.188871, 775, 0, 0.000000
106, 549, 0.202846, 942, 0, 0.000000
107, 549, 0.237437, 817, 0, 0.000000
108, 549, 0.215587, 988, 0, 0.000000
109, 550, 0.216891, 815, 0, 0.000000
110, 550, 0.212992, 990, 0, 0.000000
111, 551, 0.249747, 876, 0, 0.000000
112, 551, 0.197593, 1053, 0, 0.000000
113, 551, 0.238907, 904, 0, 0.000000
114, 551, 0.225030, 979, 0, 0.000000
115, 551, 0.268776, 770, 0, 0.000000
116, 551, 0.274715, 789, 0, 0.000000
117, 551, 0.267090, 791, 0, 0.000000
118, 551, 0.255903, 651, 0, 0.000000
119, 551, 0.272899, 697, 0, 0.000000
120, 552, 0.251097, 795, 0, 0.000000
121, 553, 0.243709, 791, 0, 0.000000
122, 554, 0.215746, 701, 0, 0.000000
123, 555, 0.206135, 836, 0, 0.000000
124, 556, 0.235516, 857, 0, 0.000000
125, 556, 0.220115, 851, 0, 0.000000
126, 556, 0.262305, 747, 0, 0.000000
127, 557, 0.240817, 837, 0, 0.000000
128, 558, 0.250586, 585, 0, 0.000000
129, 559, 0.328222, 675, 0, 0.000000
130, 559, 0.276131, 820, 0, 0.000000
131, 560, 0.295311, 707, 0, 0.000000
132, 560, 0.290550, 741, 0, 0.000000
133, 560, 0.244546, 864, 0, 0.000000
134, 561, 0.275460, 703, 0, 0.000000
135, 562, 0.236474, 914, 0, 0.000000
136, 562, 0.230738, 990, 0, 0.000000
137, 563, 0.254085, 778, 0, 0.000000
138, 564, 0.214239, 878, 0, 0.000000
139, 565, 0.211810, 953, 0, 0.000000
140, 565, 0.221884, 867, 0, 0.000000
141, 566, 0.225731, 872, 0, 0.000000
142, 567, 0.190182, 890, 0, 0.000000
143, 567, 0.201564, 852, 0, 0.000000
144, 568, 0.240632, 905, 0, 0.000000
145, 568, 0.193756, 976, 0, 0.000000
146, 569, 0.245281, 878, 0, 0.000000
147, 569, 0.226880, 848, 0, 0.000000
148, 570, 0.202276, 908, 0, 0.000000
149, 570, 0.228241, 937, 0, 0.000000
150, 570, 0.199964, 924, 0, 0.000000
151, 570, 0.188048, 990, 0, 0.000000
152, 570, 0.206381, 855, 0, 0.000000
153, 571, 0.184759, 965, 0, 0.000000
154, 572, 0.233303, 938, 0, 0.000000
155, 572, 0.215580, 978, 0, 0.000000
156, 573, 0.214580, 886, 0, 0.000000
157, 573, 0.182935, 1010, 0, 0.000000
158, 574, 0.209729, 983, 0, 0.000000
159, 575, 0.190610, 1010, 0, 0.000000
160, 576, 0.189804, 930, 0, 0.000000
161, 577, 0.188433, 996, 0, 0.000000
162, 577, 0.201532, 964, 0, 0.000000
163, 577, 0.192243, 946, 0, 0.000000
164, 577, 0.212075, 1004, 0, 0.000000
165, 577, 0.197838, 966, 0, 0.000000
166, 578, 0.192135, 1058, 0, 0.000000
167, 578, 0.197926, 1046, 0, 0.000000
168, 578, 0.178373, 1064, 0, 0.000000
169, 578, 0.162632, 984, 0, 0.000000
170, 579, 0.190946, 994, 0, 0.000000
171, 580, 0.188367, 1070, 0, 0.000000
172, 580, 0.180897, 986, 0, 0.000000
173, 580, 0.202897, 1077, 0, 0.000000
174, 580, 0.175012, 990, 0, 0.000000
175, 580, 0.150367, 1013, 0, 0.000000
176, 581, 0.155823, 1074, 0, 0.000000
177, 582, 0.198736, 1067, 0, 0.000000
178, 583, 0.149371, 1006, 0, 0.000000
179, 583, 0.169446, 1011, 0, 0.000000
180, 583, 0.195411, 1073, 0, 0.000000
181, 583, 0.154962, 959, 0, 0.000000
182, 583, 0.172691, 970, 0, 0.000000
183, 583, 0.196070, 1122, 0, 0.000000
184, 583, 0.166247, 980, 0, 0.000000
185, 584, 0.174642, 1036, 0, 0.000000
186, 584, 0.175158, 985, 0, 0.000000
187, 585, 0.167998, 984, 0, 0.000000
188, 586, 0.181790, 1048, 0, 0.000000
189, 586, 0.176866, 999, 0, 0.000000
190, 586, 0.195006, 990, 0, 0.000000
191, 586, 0.207416, 973, 0, 0.000000
192, 587, 0.181433, 1014, 0, 0.000000
193, 588, 0.201118, 997, 0, 0.000000
194, 588, 0.222443, 1040, 0, 0.000000
195, 588, 0.174176, 974, 0, 0.000000
196, 588, 0.165520, 937, 0, 0.000000
197, 589, 0.211985, 1023, 0, 0.000000
198, 589, 0.183690, 936, 0, 0.000000
