Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.457953, 583, 0, 0.000000
1, 501, 0.533716, 665, 0, 0.000000
2, 502, 0.438860, 702, 0, 0.000000
3, 502, 0.429607, 616, 0, 0.000000
4, 502, 0.441778, 450, 0, 0.000000
5, 502, 0.394803, 452, 0, 0.000000
6, 503, 0.359586, 351, 0, 0.000000
7, 504, 0.372316, 549, 0, 0.000000
8, 505, 0.352052, 447, 0, 0.000000
9, 506, 0.339798, 414, 0, 0.000000
10, 507, 0.353159, 386, 0, 0.000000
11, 508, 0.317145, 613, 0, 0.000000
12, 508, 0.339453, 426, 0, 0.000000
13, 509, 0.326688, 525, 0, 0.000000
14, 510, 0.347625, 554, 0, 0.000000
15, 510, 0.300355, 512, 0, 0.000000
16, 511, 0.301459, 554, 0, 0.000000
17, 512, 0.310222, 469, 0, 0.000000
18, 513, 0.321007, 610, 0, 0.000000
19, 514, 0.291754, 532, 0, 0.000000
20, 515, 0.301564, 569, 0, 0.000000
21, 516, 0.306942, 552, 0, 0.000000
22, 517, 0.308633, 610, 0, 0.000000
23, 517, 0.332905, 565, 0, 0.000000
24, 518, 0.294170, 662, 0, 0.000000
25, 518, 0.279189, 576, 0, 0.000000
26, 519, 0.305314, 572, 0, 0.000000
27, 519, 0.328254, 631, 0, 0.000000
28, 519, 0.308383, 568, 0, 0.000000
29, 520, 0.301539, 639, 0, 0.000000
30, 520, 0.337979, 597, 0, 0.000000
31, 521, 0.289099, 567, 0, 0.000000
32, 521, 0.298362, 737, 0, 0.000000
33, 521, 0.293384, 539, 0, 0.000000
34, 521, 0.299238, 696, 0, 0.000000
35, 522, 0.323754, 631, 0, 0.000000
36, 522, 0.298729, 700, 0, 0.000000
37, 522, 0.317764, 713, 0, 0.000000
38, 522, 0.306733, 729, 0, 0.000000
39, 522, 0.286435, 761, 0, 0.000000
40, 522, 0.276583, 643, 0, 0.000000
41, 522, 0.286145, 740, 0, 0.000000
42, 523, 0.314759, 635, 0, 0.000000
43, 524, 0.309098, 692, 0, 0.000000
44, 525, 0.288776, 733, 0, 0.000000
45, 525, 0.291430, 736, 0, 0.000000
46, 525, 0.282579, 696, 0, 0.000000
47, 525, 0.293332, 663, 0, 0.000000
48, 525, 0.303335, 716, 0, 0.000000
49, 526, 0.283329, 707, 0, 0.000000
50, 526, 0.281965, 713, 0, 0.000000
51, 526, 0.309051, 748, 0, 0.000000
52, 526, 0.313599, 798, 0, 0.000000
53, 527, 0.289164, 629, 0, 0.000000
54, 528, 0.317575, 793, 0, 0.000000
55, 529, 0.279323, 737, 0, 0.000000
56, 529, 0.286947, 793, 0, 0.000000
57, 529, 0.285002, 659, 0, 0.000000
58, 530, 0.289117, 700, 0, 0.000000
59, 531, 0.281414, 825, 0, 0.000000
60, 532, 0.286044, 734, 0, 0.000000
61, 533, 0.305055, 759, 0, 0.000000
62, 533, 0.289022, 755, 0, 0.000000
63, 533, 0.292891, 848, 0, 0.000000
64, 533, 0.297386, 649, 0, 0.000000
65, 534, 0.306884, 756, 0, 0.000000
66, 534, 0.284345, 787, 0, 0.000000
67, 535, 0.300912, 835, 0, 0.000000
68, 536, 0.298996, 812, 0, 0.000000
69, 536, 0.285656, 862, 0, 0.000000
70, 536, 0.239800, 739, 0, 0.000000
71, 537, 0.223452, 881, 0, 0.000000
72, 537, 0.222425, 820, 0, 0.000000
73, 537, 0.208694, 665, 0, 0.000000
74, 538, 0.239197, 932, 0, 0.000000
75, 539, 0.212889, 870, 0, 0.000000
76, 539, 0.232890, 676, 0, 0.000000
77, 539, 0.238452, 766, 0, 0.000000
78, 539, 0.288299, 638, 0, 0.000000
79, 540, 0.265251, 704, 0, 0.000000
80, 541, 0.221631, , 1, 0.000000
