Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
182, 590, 6.114557, 1161, 0
183, 590, 6.351448, 1154, 0
184, 590, 6.282080, 1012, 0
185, 591, 6.204563, 1089, 0
186, 592, 5.769594, 1067, 0
187, 592, 6.388291, 1155, 0
188, 593, 6.046277, 962, 0
189, 593, 5.937661, 1191, 0
190, 593, 6.555782, 1031, 0
191, 593, 6.438076, 1090, 0
192, 594, 6.187017, 1052, 0
193, 594, 6.605077, 1110, 0
194, 594, 6.062606, 1121, 0
195, 595, 6.118542, 1064, 0
196, 596, 5.956389, 1102, 0
197, 597, 5.919690, 1077, 0
198, 598, 5.826347, 1140, 0
199, 599, 6.473334, 1017, 0
200, 599, 6.148080, 1030, 0
201, 599, 6.074455, 1042, 0
202, 600, 6.379793, 1023, 0
203, 600, 6.090648, 1077, 0
204, 601, 6.329187, 957, 0
205, 601, 6.335698, 1129, 0
206, 601, 5.963034, 959, 0
207, 601, 6.381980, 992, 0
208, 601, 6.303038, 1070, 0
209, 602, 6.090468, 1021, 0
210, 602, 6.359313, 1046, 0
211, 602, 6.372320, 1088, 0
212, 602, 6.172698, 1076, 0
213, 602, 6.552296, 967, 0
214, 602, 6.458304, 1132, 0
215, 602, 6.279371, 1083, 0
216, 603, 6.401545, 1013, 0
217, 604, 6.609818, 1027, 0
218, 605, 6.252826, 1041, 0
219, 606, 6.313653, 1049, 0
220, 606, 6.693803, 955, 0
221, 607, 6.262290, 1039, 0
222, 608, 6.250689, 950, 0
223, 608, 6.503316, 1104, 0
224, 609, 6.729790, 984, 0
225, 609, 6.013443, 974, 0
226, 610, 6.247636, 1092, 0
227, 611, 6.291153, 1034, 0
228, 612, 6.357451, 1076, 0
229, 612, 6.348284, 991, 0
230, 612, 6.652485, 1048, 0
231, 613, 6.400777, 1061, 0
232, 613, 6.490398, 935, 0
233, 613, 6.665293, 1076, 0
234, 613, 5.869553, 1014, 0
235, 613, 6.930573, 1021, 0
236, 614, 6.448535, 922, 0
237, 614, 5.994103, 1026, 0
238, 615, 6.875001, 1187, 0
239, 616, 6.183131, 1065, 0
240, 617, 6.398992, 1074, 0
241, 618, 6.196584, 979, 0
242, 618, 6.354253, 1048, 0
243, 619, 6.628940, 1047, 0
244, 619, 6.397251, 990, 0
245, 620, 6.542753, 1097, 0
246, 621, 6.531056, 1007, 0
247, 622, 6.627187, 1105, 0
248, 623, 6.460681, 893, 0
249, 624, 6.034798, 1157, 0
250, 624, 6.274524, 1022, 0
251, 624, 6.363069, 1108, 0
252, 624, 6.354035, 991, 0
253, 624, 6.283647, 1072, 0
254, 625, 6.309149, 1149, 0
255, 625, 6.090954, 1092, 0
256, 625, 6.322953, 1087, 0
257, 625, 6.067270, 978, 0
258, 625, 6.485154, 1166, 0
259, 626, 6.364381, 1005, 0
260, 626, 6.742361, 1050, 0
261, 626, 6.254057, 1067, 0
262, 627, 6.666296, 1123, 0
263, 627, 6.465528, 1035, 0
264, 627, 6.285196, 1007, 0
265, 627, 5.929389, 1011, 0
266, 627, 6.515774, 1105, 0
267, 627, 6.330195, 1068, 0
268, 627, 6.481276, 1014, 0
269, 627, 6.370848, 926, 0
270, 627, 6.332648, 959, 0
271, 627, 6.308506, 1122, 0
272, 627, 6.814936, 1035, 0
273, 628, 6.413007, 1115, 0
274, 628, 6.346595, 1017, 0
275, 628, 6.628734, 1111, 0
276, 628, 6.488523, 1099, 0
277, 628, 6.314317, 1118, 0
278, 629, 6.288644, 1205, 0
279, 630, 6.601445, 1043, 0
280, 631, 6.098992, 1049, 0
281, 632, 6.153986, 1038, 0
282, 632, 6.669652, 1035, 0
283, 632, 6.620978, 1139, 0
284, 633, 6.203353, 1119, 0
285, 633, 6.306284, 1011, 0
286, 634, 6.009987, 1031, 0
287, 635, 6.083894, 1040, 0
288, 635, 6.249048, 1221, 0
289, 635, 6.108628, 1056, 0
290, 635, 6.134164, 1172, 0
291, 636, 6.183558, 1080, 0
292, 636, 6.639298, 1120, 0
293, 636, 6.537259, 987, 0
294, 637, 6.512233, 1021, 0
295, 638, 6.066297, 1169, 0
296, 638, 5.637806, 1156, 0
297, 638, 6.252364, 1109, 0
298, 638, 6.012370, 998, 0
299, 639, 6.445729, 1210, 0
300, 639, 6.145131, 1145, 0
301, 639, 6.329713, 1249, 0
302, 639, 6.754792, 1158, 0
303, 640, 6.459974, 1311, 0
304, 641, 6.623437, 1225, 0
305, 642, 6.256979, 1297, 0
306, 642, 6.039583, 1214, 0
307, 642, 6.025929, 1142, 0
308, 642, 6.118395, 1172, 0
309, 642, 5.919553, 1201, 0
310, 642, 6.126337, 1198, 0
311, 643, 5.786523, 1192, 0
312, 643, 6.336744, 1147, 0
313, 643, 5.959789, 1155, 0
314, 643, 5.958864, 1206, 0
315, 644, 6.347311, 1200, 0
316, 644, 5.950495, 1265, 0
317, 644, 6.316904, 1288, 0
318, 645, 5.968993, 1185, 0
319, 645, 6.060109, 1211, 0
320, 646, 6.088494, 1293, 0
321, 647, 5.771790, 1167, 0
322, 647, 6.166456, 1104, 0
323, 648, 6.038908, 1183, 0
324, 649, 6.079050, 1232, 0
325, 650, 6.222528, 1211, 0
326, 650, 6.312251, 1304, 0
327, 650, 5.737994, 1283, 0
328, 650, 6.262381, 1469, 0
329, 651, 6.117507, 1243, 0
330, 652, 6.265843, 1272, 0
331, 652, 6.355118, 1243, 0
332, 652, 6.090240, 1339, 0
333, 653, 5.764292, 1271, 0
334, 653, 6.181649, 1242, 0
335, 653, 5.867199, 1218, 0
336, 653, 6.016228, 1193, 0
337, 654, 5.776119, 1141, 0
338, 654, 5.815056, 1339, 0
339, 654, 5.723598, 1084, 0
340, 654, 6.384910, 1231, 0
341, 655, 5.753982, 1282, 0
342, 655, 6.089929, 1152, 0
343, 655, 5.831717, 1179, 0
344, 655, 5.902680, 1217, 0
345, 655, 6.311208, 1251, 0
346, 656, 6.263141, 1259, 0
347, 657, 6.316733, 1156, 0
348, 657, 6.405483, 1135, 0
349, 657, 6.018531, 1086, 0
350, 658, 6.331710, 1199, 0
351, 659, 5.926961, 1147, 0
352, 659, 6.198974, 1167, 0
353, 660, 6.071153, 1223, 0
354, 660, 6.358590, 1071, 0
355, 660, 6.520480, 1089, 0
356, 660, 6.112234, 1248, 0
357, 660, 6.359348, 1061, 0
358, 661, 6.051675, 1090, 0
359, 661, 6.431136, 1114, 0
360, 662, 6.275376, 1215, 0
361, 663, 5.961023, 1172, 0
362, 664, 5.974269, 1076, 0
363, 664, 6.552183, 1098, 0
364, 664, 6.201521, 1076, 0
365, 665, 6.150473, 1068, 0
366, 665, 6.133993, 1163, 0
367, 665, 6.448701, 1142, 0
368, 666, 6.184879, 1272, 0
369, 667, 6.427823, 1134, 0
370, 667, 6.274910, 1088, 0
371, 668, 6.040316, 1235, 0
372, 669, 6.466568, 983, 0
373, 669, 6.205552, 1093, 0
374, 669, 6.265602, 1074, 0
375, 669, 6.169678, 1088, 0
376, 669, 6.114732, 1174, 0
377, 670, 6.233768, 1011, 0
378, 671, 6.162401, 1177, 0
379, 671, 6.584434, 1083, 0
380, 671, 6.387936, 1170, 0
381, 671, 6.309713, 976, 0
382, 672, 6.235248, 1250, 0
383, 672, 6.254355, 1112, 0
384, 672, 6.691024, 1143, 0
385, 672, 5.987763, 1110, 0
386, 672, 6.512093, 1131, 0
387, 672, 6.837401, 1036, 0
388, 673, 6.466294, 1129, 0
389, 673, 6.741718, 1182, 0
390, 674, 6.176888, 1072, 0
391, 674, 6.184852, 1125, 0
392, 674, 6.649720, 1150, 0
393, 674, 6.395274, 1263, 0
394, 675, 6.559606, 1153, 0
395, 676, 6.141478, 1214, 0
396, 677, 6.371328, 1214, 0
397, 677, 6.881587, 1088, 0
398, 678, 6.558828, 1169, 0
