Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 23.453036, 287, 0, 28.182731
1, 260, 21.142816, 375, 0, 24.071822
2, 356, 20.470339, 440, 0, 20.038941
3, 440, 20.136399, 411, 0, 17.137285
4, 490, 19.683937, 595, 0, 15.136718
5, 534, 19.051156, 488, 0, 14.627373
6, 602, 19.023318, 576, 0, 14.726192
7, 620, 19.052293, 623, 0, 14.564733
8, 648, 18.753965, 619, 0, 14.898254
9, 674, 18.806707, 668, 0, 14.663016
10, 704, 18.837684, 757, 0, 14.560990
11, 742, 18.395097, 727, 0, 14.624764
12, 788, 18.507976, 843, 0, 14.629512
13, 822, 18.099711, 901, 0, 14.725541
14, 882, 17.997506, 838, 0, 14.563509
15, 916, 18.016905, 947, 0, 14.714838
16, 964, 17.535560, 991, 0, 14.765239
17, 1044, 17.442317, 1043, 0, 14.995800
18, 1116, 17.592969, 1109, 0, 14.881564
19, 1190, 17.414897, 1149, 0, 14.984504
20, 1266, 17.181805, 1163, 0, 14.639547
21, 1342, 17.220642, 1234, 0, 14.408190
22, 1412, 17.192021, 1384, 0, 14.570171
23, 1474, 16.992969, 1434, 0, 14.680613
24, 1540, 17.026582, 1405, 0, 14.335069
25, 1550, 16.712962, 1554, 0, 14.699246
26, 1614, 16.784066, 1534, 0, 14.764091
27, 1700, 16.814626, 1541, 0, 14.541272
28, 1724, 16.378672, 1731, 0, 14.770485
29, 1810, 16.106897, 1747, 0, 14.906247
30, 1866, 15.813371, 1803, 0, 14.917912
31, 1936, 15.927388, 1914, 0, 15.072102
32, 1984, 15.781377, 1845, 0, 14.645873
33, 2026, 15.531641, , 1, 14.730830
