Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 19.564370, 109, 0, 28.332671
1, 50, 19.003317, 48, 0, 28.239214
2, 52, 18.784434, 41, 0, 29.884862
3, 48, 19.023641, 45, 0, 27.758033
4, 48, 19.262681, 42, 0, 27.478227
5, 46, 19.188508, 48, 0, 26.365798
6, 50, 19.333552, 44, 0, 29.629318
7, 50, 19.940102, 45, 0, 29.195413
8, 52, 19.051394, 43, 0, 30.527573
9, 52, 18.992043, 42, 0, 29.541775
10, 48, 18.680854, 47, 0, 30.479068
11, 50, 18.554948, 49, 0, 29.742316
12, 52, 18.565180, 53, 0, 31.142575
13, 56, 18.553365, 54, 0, 28.670542
14, 58, 17.008303, 66, 0, 28.241876
15, 60, 17.104310, 80, 0, 28.034504
16, 66, 17.319118, 73, 0, 28.386346
17, 68, 17.348122, 175, 0, 26.546883
18, 70, 17.522926, 193, 0, 26.120568
19, 72, 17.412190, 167, 0, 27.290222
20, 70, 17.698187, 61, 0, 26.027207
21, 64, 18.156902, 62, 0, 28.546392
22, 62, 16.904979, 65, 0, 29.521451
23, 64, 17.215075, 69, 0, 29.408076
24, 70, 17.216228, 70, 0, 29.674709
25, 72, 17.683354, 66, 0, 29.403849
26, 70, 18.108112, 70, 0, 30.092316
27, 70, 17.447251, 74, 0, 30.854491
28, 68, 17.257356, 67, 0, 28.150958
29, 66, 16.390293, 78, 0, 29.576547
30, 74, 17.085539, 86, 0, 29.204043
31, 82, 17.751138, 85, 0, 28.715502
32, 80, 16.619849, 82, 0, 30.067917
33, 78, 16.428185, 90, 0, 29.578171
34, 82, 17.349469, 88, 0, 28.971587
35, 88, 18.699391, 118, 0, 29.548680
36, 80, 17.445847, 139, 0, 29.115606
37, 82, 17.126004, 77, 0, 29.935477
38, 84, 17.209233, 165, 0, 28.002366
39, 84, 17.393529, 87, 0, 28.043413
40, 88, 16.588461, 96, 0, 29.751985
41, 100, 16.723119, 95, 0, 29.777695
