Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
0, 500, 0.484588, 381, 0
1, 500, 0.675483, 412, 0
2, 501, 0.462394, 421, 0
3, 502, 0.307892, 386, 0
4, 502, 0.309957, 470, 0
5, 502, 0.299649, 413, 0
6, 503, 0.289812, 453, 0
7, 504, 0.293808, 450, 0
8, 504, 0.285356, 460, 0
9, 505, 0.296279, 494, 0
10, 506, 0.295592, 416, 0
11, 506, 0.319118, 448, 0
12, 506, 0.310722, 435, 0
13, 507, 0.305716, 470, 0
14, 508, 0.310819, 493, 0
15, 508, 0.305578, 463, 0
16, 508, 0.316801, 450, 0
17, 508, 0.306938, 426, 0
18, 508, 0.318011, 496, 0
19, 509, 0.321786, 483, 0
20, 510, 0.320899, 508, 0
21, 511, 0.318442, 477, 0
22, 512, 0.327809, 513, 0
23, 512, 0.320089, 559, 0
24, 512, 0.319602, 546, 0
25, 513, 0.329205, 529, 0
26, 513, 0.328387, 511, 0
27, 514, 0.326405, 547, 0
28, 514, 0.332398, 521, 0
29, 515, 0.335471, 504, 0
30, 515, 0.331686, 556, 0
31, 515, 0.335983, 619, 0
32, 516, 0.336078, 494, 0
33, 516, 0.333642, 491, 0
34, 517, 0.323440, 527, 0
35, 518, 0.322961, 611, 0
36, 518, 0.330634, 538, 0
37, 519, 0.323110, 541, 0
38, 520, 0.327609, 544, 0
39, 521, 0.347970, 623, 0
40, 522, 0.326316, 532, 0
41, 523, 0.319770, 530, 0
42, 523, 0.331775, 535, 0
43, 523, 0.331484, 583, 0
44, 524, 0.332227, 455, 0
45, 525, 0.326163, 481, 0
46, 525, 0.326071, 490, 0
47, 525, 0.331955, 534, 0
48, 525, 0.334874, 524, 0
49, 525, 0.340900, 561, 0
50, 526, 0.346302, 519, 0
51, 526, 0.342151, 560, 0
52, 526, 0.337158, 626, 0
53, 526, 0.342321, 516, 0
54, 527, 0.364505, 587, 0
55, 528, 0.344732, 490, 0
56, 528, 0.346933, 560, 0
57, 529, 0.345339, 575, 0
58, 529, 0.331633, 611, 0
59, 529, 0.349358, 604, 0
60, 529, 0.338920, 663, 0
61, 530, 0.331761, 613, 0
62, 530, 0.311972, 650, 0
63, 530, 0.318749, 665, 0
64, 530, 0.331014, 717, 0
65, 531, 0.335214, 643, 0
66, 531, 0.333421, 647, 0
67, 531, 0.314160, 713, 0
68, 532, 0.339703, 637, 0
69, 532, 0.335719, 582, 0
70, 532, 0.340471, 639, 0
71, 532, 0.330823, 640, 0
72, 532, 0.343992, 594, 0
73, 532, 0.346046, 621, 0
74, 532, 0.342011, 758, 0
75, 532, 0.351814, 599, 0
76, 532, 0.352954, 644, 0
77, 533, 0.336930, 617, 0
78, 533, 0.346965, 725, 0
79, 533, 0.343791, 602, 0
80, 534, 0.342524, 579, 0
81, 535, 0.352023, 651, 0
82, 536, 0.345744, 623, 0
83, 536, 0.338099, 625, 0
84, 536, 0.341942, 645, 0
85, 537, 0.363199, 696, 0
86, 537, 0.333871, 599, 0
87, 538, 0.344904, 646, 0
88, 538, 0.353308, 684, 0
89, 538, 0.349168, 662, 0
90, 538, 0.342460, 652, 0
91, 538, 0.348513, 664, 0
92, 538, 0.354240, 681, 0
93, 538, 0.352182, 660, 0
94, 538, 0.332529, 667, 0
95, 539, 0.351988, 790, 0
96, 539, 0.334515, 736, 0
97, 539, 0.348461, 761, 0
98, 540, 0.346083, 851, 0
99, 540, 0.347230, 739, 0
100, 540, 0.352865, 780, 0
101, 541, 0.354661, 865, 0
102, 541, 0.351237, 742, 0
103, 541, 0.349944, 764, 0
104, 541, 0.348966, 762, 0
105, 542, 0.349196, 775, 0
106, 542, 0.358293, 769, 0
107, 543, 0.358844, 837, 0
108, 544, 0.355987, 854, 0
109, 544, 0.354415, 787, 0
110, 544, 0.357814, 817, 0
111, 545, 0.359311, 798, 0
112, 545, 0.359762, 791, 0
113, 546, 0.358128, 734, 0
114, 547, 0.359353, 788, 0
115, 547, 0.348118, 776, 0
116, 547, 0.344900, 670, 0
117, 547, 0.339526, 655, 0
118, 548, 0.344636, 697, 0
119, 549, 0.347584, 618, 0
120, 550, 0.345498, 727, 0
121, 550, 0.340155, 710, 0
122, 550, 0.338822, 662, 0
123, 550, 0.339259, 660, 0
124, 551, 0.338967, 652, 0
125, 552, 0.342932, 669, 0
126, 552, 0.346542, 663, 0
127, 553, 0.342026, 593, 0
128, 553, 0.342655, 716, 0
129, 554, 0.344538, 651, 0
130, 555, 0.340853, 585, 0
131, 556, 0.342455, 690, 0
132, 556, 0.351543, 645, 0
133, 557, 0.344834, 618, 0
134, 558, 0.346340, 623, 0
135, 558, 0.345056, 589, 0
136, 559, 0.342381, 660, 0
137, 560, 0.346332, 595, 0
138, 560, 0.346414, 546, 0
139, 560, 0.342640, 573, 0
140, 560, 0.346954, 657, 0
141, 561, 0.344824, 558, 0
142, 561, 0.339137, 542, 0
143, 562, 0.339467, 511, 0
144, 562, 0.343019, 652, 0
145, 562, 0.346765, 534, 0
146, 562, 0.348355, 529, 0
147, 563, 0.349867, 504, 0
148, 564, 0.344414, 587, 0
149, 564, 0.346373, 546, 0
150, 565, 0.352175, 518, 0
151, 566, 0.346086, 530, 0
152, 567, 0.346359, 444, 0
153, 567, 0.344568, 571, 0
154, 567, 0.346840, 550, 0
155, 568, 0.345584, 518, 0
156, 568, 0.339795, 514, 0
157, 568, 0.351929, 611, 0
