Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.186783, 402, 0, 0.000000
1, 500, 0.537732, 493, 0, 0.000000
2, 501, 0.415735, 404, 0, 0.000000
3, 502, 0.428443, 329, 0, 0.000000
4, 503, 0.388736, 395, 0, 0.000000
5, 504, 0.392485, 423, 0, 0.000000
6, 505, 0.424792, 485, 0, 0.000000
7, 505, 0.339135, 423, 0, 0.000000
8, 505, 0.299152, 605, 0, 0.000000
9, 505, 0.272973, 530, 0, 0.000000
10, 506, 0.232321, 479, 0, 0.000000
11, 507, 0.205433, 417, 0, 0.000000
12, 508, 0.203670, 597, 0, 0.000000
13, 508, 0.200415, 583, 0, 0.000000
14, 508, 0.186833, 498, 0, 0.000000
15, 508, 0.198493, 629, 0, 0.000000
16, 508, 0.190426, , 1, 0.000000
