Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
0, 500, 26.735714, 471, 0
1, 500, 26.543166, 337, 0
2, 500, 26.462394, 460, 0
3, 501, 26.291373, 326, 0
4, 502, 26.134841, 372, 0
5, 503, 26.194020, 389, 0
6, 503, 26.244319, 370, 0
7, 503, 26.098492, 362, 0
8, 504, 26.074675, 437, 0
9, 504, 26.043919, 362, 0
10, 505, 26.060411, 414, 0
11, 505, 25.850049, 329, 0
12, 506, 25.963653, 355, 0
13, 506, 25.958052, 359, 0
14, 507, 26.014842, 318, 0
15, 507, 26.052972, 250, 0
16, 508, 26.124109, 353, 0
17, 509, 26.029065, 309, 0
18, 509, 26.199797, 336, 0
19, 510, 26.032934, 287, 0
20, 510, 25.981473, 318, 0
21, 510, 25.932164, 332, 0
22, 511, 26.090375, 257, 0
23, 512, 26.357739, 263, 0
24, 512, 26.312682, 258, 0
25, 512, 26.164790, 236, 0
26, 512, 26.293752, 242, 0
27, 513, 25.813701, 259, 0
28, 513, 26.002144, 233, 0
29, 513, 25.566492, 260, 0
30, 514, 25.607362, 244, 0
31, 514, 25.723288, 208, 0
32, 514, 26.119950, 281, 0
33, 514, 25.878568, 342, 0
34, 514, 25.898782, 244, 0
35, 515, 25.908124, 258, 0
36, 515, 25.676802, 333, 0
37, 516, 25.682251, 235, 0
38, 516, 25.587865, 212, 0
39, 516, 25.812408, 270, 0
40, 517, 25.479515, 202, 0
41, 518, 25.297832, 225, 0
42, 518, 25.438783, 217, 0
43, 518, 25.235656, 284, 0
44, 519, 25.220499, 193, 0
45, 520, 25.619539, 257, 0
46, 520, 25.606303, 256, 0
47, 521, 25.528555, 243, 0
48, 521, 25.711267, 208, 0
49, 521, 25.508193, 322, 0
50, 521, 25.664078, 252, 0
51, 521, 25.543634, 234, 0
52, 521, 25.561437, 216, 0
53, 522, 25.653084, 274, 0
54, 523, 25.648850, 267, 0
55, 523, 25.627194, 242, 0
56, 524, 25.925664, 266, 0
57, 524, 25.952066, 196, 0
58, 524, 25.678752, 198, 0
59, 524, 25.384916, 255, 0
60, 524, 25.859661, 309, 0
61, 525, 25.880967, 242, 0
62, 525, 25.761430, 232, 0
63, 525, 25.668605, 293, 0
64, 525, 25.845637, 305, 0
65, 525, 25.794589, 213, 0
66, 525, 25.479862, 272, 0
67, 525, 25.538840, 216, 0
68, 525, 25.422831, 240, 0
69, 525, 25.518485, 247, 0
70, 526, 25.638012, 309, 0
71, 527, 25.604211, 203, 0
72, 528, 25.540866, 214, 0
73, 528, 25.750186, 340, 0
74, 528, 25.562934, 264, 0
75, 529, 25.781772, 228, 0
76, 530, 25.638733, 237, 0
77, 531, 25.726748, 201, 0
78, 531, 25.855238, 221, 0
