Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.330677, 596, 0, 0.000000
1, 501, 0.500206, 682, 0, 0.000000
2, 501, 0.454087, 652, 0, 0.000000
3, 502, 0.445027, 692, 0, 0.000000
4, 502, 0.370704, 874, 0, 0.000000
5, 502, 0.360910, 740, 0, 0.000000
6, 503, 0.393077, 914, 0, 0.000000
7, 503, 0.370399, 733, 0, 0.000000
8, 503, 0.362733, 752, 0, 0.000000
9, 503, 0.443467, 729, 0, 0.000000
10, 504, 0.373852, 701, 0, 0.000000
11, 504, 0.374726, 705, 0, 0.000000
12, 504, 0.360118, 805, 0, 0.000000
13, 504, 0.360790, 791, 0, 0.000000
14, 504, 0.359131, 756, 0, 0.000000
15, 504, 0.358233, 719, 0, 0.000000
16, 505, 0.378497, 735, 0, 0.000000
17, 505, 0.362647, 767, 0, 0.000000
18, 506, 0.373188, 856, 0, 0.000000
19, 506, 0.356993, 790, 0, 0.000000
20, 506, 0.352291, 776, 0, 0.000000
21, 506, 0.368119, 753, 0, 0.000000
22, 506, 0.354932, 838, 0, 0.000000
23, 507, 0.366371, 881, 0, 0.000000
24, 508, 0.371340, 728, 0, 0.000000
25, 509, 0.364824, 939, 0, 0.000000
26, 509, 0.360656, 852, 0, 0.000000
27, 509, 0.279002, 867, 0, 0.000000
28, 510, 0.290111, 891, 0, 0.000000
29, 510, 0.366871, 810, 0, 0.000000
30, 511, 0.358401, 885, 0, 0.000000
31, 511, 0.354275, 799, 0, 0.000000
32, 511, 0.358174, 905, 0, 0.000000
33, 511, 0.355081, 911, 0, 0.000000
34, 512, 0.279028, 807, 0, 0.000000
35, 512, 0.336075, 982, 0, 0.000000
36, 513, 0.346013, 821, 0, 0.000000
37, 514, 0.351408, 983, 0, 0.000000
38, 514, 0.344304, 860, 0, 0.000000
39, 515, 0.337753, 879, 0, 0.000000
40, 516, 0.347381, 945, 0, 0.000000
41, 517, 0.351567, 999, 0, 0.000000
42, 517, 0.355529, 1032, 0, 0.000000
43, 518, 0.340853, 885, 0, 0.000000
44, 519, 0.368350, 1002, 0, 0.000000
45, 519, 0.342881, 1057, 0, 0.000000
46, 519, 0.348517, 968, 0, 0.000000
47, 520, 0.313812, 934, 0, 0.000000
48, 521, 0.348661, 1058, 0, 0.000000
49, 522, 0.360955, 1001, 0, 0.000000
50, 522, 0.297584, 1180, 0, 0.000000
51, 522, 0.341457, 964, 0, 0.000000
52, 523, 0.342282, 1037, 0, 0.000000
53, 524, 0.335803, 1073, 0, 0.000000
54, 524, 0.337423, 1095, 0, 0.000000
55, 524, 0.345022, 978, 0, 0.000000
56, 525, 0.345590, 1029, 0, 0.000000
57, 525, 0.339148, 1018, 0, 0.000000
58, 526, 0.345177, 1027, 0, 0.000000
59, 526, 0.329714, 1030, 0, 0.000000
60, 526, 0.350723, 1032, 0, 0.000000
61, 527, 0.338755, 1023, 0, 0.000000
62, 527, 0.352640, 1063, 0, 0.000000
63, 528, 0.343309, 1064, 0, 0.000000
64, 528, 0.339980, 1024, 0, 0.000000
65, 528, 0.360996, 1137, 0, 0.000000
66, 528, 0.349968, 1022, 0, 0.000000
67, 528, 0.338697, 1050, 0, 0.000000
68, 529, 0.342442, 1052, 0, 0.000000
69, 529, 0.341055, 1155, 0, 0.000000
70, 529, 0.341541, 942, 0, 0.000000
71, 530, 0.342454, 1089, 0, 0.000000
72, 530, 0.349373, 1312, 0, 0.000000
73, 531, 0.346327, 1009, 0, 0.000000
74, 532, 0.334750, 1096, 0, 0.000000
75, 533, 0.338317, 1200, 0, 0.000000
76, 534, 0.332695, 1111, 0, 0.000000
77, 534, 0.339255, 1193, 0, 0.000000
78, 534, 0.331833, 1175, 0, 0.000000
79, 534, 0.334404, 1125, 0, 0.000000
80, 534, 0.331815, 1244, 0, 0.000000
81, 535, 0.344695, 1139, 0, 0.000000
82, 536, 0.402866, 1176, 0, 0.000000
83, 536, 0.335755, 1109, 0, 0.000000
84, 536, 0.239983, 1149, 0, 0.000000
