Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.329782, 592, 0, 0.000000
1, 500, 0.452797, 712, 0, 0.000000
2, 501, 0.368888, 613, 0, 0.000000
3, 501, 0.314857, 674, 0, 0.000000
4, 501, 0.295571, 599, 0, 0.000000
5, 502, 0.321156, 714, 0, 0.000000
6, 502, 0.330427, 731, 0, 0.000000
7, 502, 0.346508, 656, 0, 0.000000
8, 502, 0.354817, 658, 0, 0.000000
9, 503, 0.364223, 706, 0, 0.000000
10, 503, 0.370516, 651, 0, 0.000000
11, 503, 0.382278, 633, 0, 0.000000
12, 503, 0.395621, 564, 0, 0.000000
13, 504, 0.403562, 514, 0, 0.000000
14, 504, 0.399595, 433, 0, 0.000000
15, 505, 0.415266, 538, 0, 0.000000
16, 505, 0.418370, 535, 0, 0.000000
17, 505, 0.425375, 522, 0, 0.000000
18, 505, 0.419503, 580, 0, 0.000000
19, 505, 0.399464, 452, 0, 0.000000
20, 505, 0.396602, 638, 0, 0.000000
21, 506, 0.395082, 530, 0, 0.000000
22, 506, 0.397171, 518, 0, 0.000000
23, 507, 0.402005, 571, 0, 0.000000
24, 508, 0.402355, 458, 0, 0.000000
25, 508, 0.515185, 398, 0, 0.000000
26, 509, 0.506182, 367, 0, 0.000000
27, 510, 0.464202, , 1, 0.000000
