Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 28.075805, 225, 0, 28.117417
1, 88, 27.826725, 112, 0, 19.726672
2, 104, 27.446190, 113, 0, 16.408726
3, 114, 27.198872, 131, 0, 15.963848
4, 128, 27.129854, 170, 0, 14.899767
5, 142, 26.597760, 186, 0, 13.696814
6, 150, 26.839017, 212, 0, 13.610821
7, 158, 26.404249, 358, 0, 14.591391
8, 176, 26.267617, 216, 0, 14.435884
9, 194, 26.074640, 221, 0, 13.475488
10, 202, 26.066288, 254, 0, 13.667726
11, 224, 26.062924, 279, 0, 14.209426
12, 240, 25.844616, 338, 0, 14.150938
13, 258, 25.785578, 296, 0, 14.624604
14, 272, 25.645366, 441, 0, 14.988150
15, 290, 25.529865, 416, 0, 15.174536
16, 300, 25.368048, 371, 0, 14.164780
17, 328, 25.401545, 385, 0, 13.671076
18, 336, 25.149460, 420, 0, 14.009275
19, 360, 24.932875, 626, 0, 13.989905
20, 382, 24.966742, 493, 0, 15.154314
21, 390, 24.916926, 582, 0, 15.423286
22, 432, 24.548216, 536, 0, 15.992782
23, 454, 24.282690, 669, 0, 14.910216
24, 472, 24.588959, 646, 0, 15.660637
25, 490, 23.958058, 597, 0, 14.986137
26, 506, 24.000068, 666, 0, 14.640364
27, 546, 23.805428, 931, 0, 14.678259
28, 570, 24.260910, 746, 0, 15.172021
29, 594, 23.938733, 827, 0, 15.190405
30, 616, 24.079386, 907, 0, 14.861501
31, 640, 23.834403, 755, 0, 14.607675
32, 660, 23.635282, 965, 0, 14.349317
33, 688, 24.229474, 1103, 0, 14.488228
34, 706, 23.885213, 1015, 0, 14.624944
35, 724, 23.975409, 1033, 0, 14.881365
36, 768, 24.019458, 1036, 0, 14.553821
37, 792, 23.523566, , 1, 14.835695
