Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 26.704277, 384, 0, 29.475390
1, 240, 28.256419, 305, 0, 23.251887
2, 308, 28.384079, 331, 0, 19.780891
3, 380, 28.006920, 385, 0, 17.209857
4, 432, 27.809698, 441, 0, 16.286277
5, 476, 27.768010, 459, 0, 15.497471
6, 524, 27.697647, 556, 0, 14.974561
7, 602, 27.545662, 628, 0, 15.171910
8, 682, 27.528138, 818, 0, 15.298564
9, 788, 27.473292, 755, 0, 15.140783
10, 838, 27.306001, 783, 0, 15.363159
11, 898, 27.299343, 829, 0, 15.299968
12, 942, 27.364372, 957, 0, 15.092310
13, 982, 27.003962, 908, 0, 14.626161
14, 1016, 26.992726, 951, 0, 15.006211
15, 1050, 27.051630, 1101, 0, 14.856630
16, 1134, 26.819458, 1025, 0, 14.756390
17, 1178, 26.786562, 1080, 0, 14.622399
18, 1238, 26.765858, 1167, 0, 14.849415
19, 1282, 26.667786, 1133, 0, 15.016096
20, 1308, 26.442242, 1181, 0, 14.837159
21, 1352, 26.491201, 1356, 0, 15.018909
22, 1426, 26.222781, 1228, 0, 14.691140
23, 1444, 26.145508, 1241, 0, 14.655515
24, 1450, 25.851583, 1449, 0, 14.747041
25, 1502, 25.907024, 1361, 0, 14.871373
26, 1518, 25.838839, 1357, 0, 15.119426
27, 1544, 25.790957, 1826, 0, 15.036125
28, 1592, 25.869324, 1578, 0, 15.049033
29, 1590, 25.697661, 1550, 0, 14.964137
30, 1636, 25.795884, 1484, 0, 14.676496
31, 1652, 25.750986, 1568, 0, 14.822105
32, 1678, 25.675339, 1498, 0, 14.617628
33, 1706, 25.620091, 1574, 0, 14.712138
34, 1744, 25.629498, 1757, 0, 14.743285
35, 1798, 25.531165, 1633, 0, 15.038060
36, 1844, 25.331476, 1826, 0, 14.887158
37, 1880, 25.354614, 1702, 0, 14.906326
38, 1934, 25.471859, 1835, 0, 14.872045
39, 1970, 25.434546, 1776, 0, 14.923179
40, 1988, 25.383000, 1918, 0, 15.005463
41, 2000, 25.336997, 1815, 0, 14.928753
42, 2020, 25.293610, 1883, 0, 15.015320
43, 2038, 25.315626, 1913, 0, 14.932433
44, 2062, 25.259201, 1988, 0, 14.836170
45, 2066, 25.370072, 1916, 0, 14.787669
46, 2052, 25.259445, 2039, 0, 14.951660
47, 2078, 25.589640, 1935, 0, 15.055672
48, 2056, 25.361033, 1959, 0, 15.082724
49, 2118, 25.224979, 2061, 0, 14.795608
50, 2132, 25.263449, 1879, 0, 14.752051
51, 2138, 25.102754, 2106, 0, 14.998052
52, 2168, 25.066238, 1887, 0, 14.924292
53, 2156, 25.123767, 2095, 0, 15.171036
54, 2180, 25.034159, 1984, 0, 14.750260
55, 2238, 24.820598, 2264, 0, 14.763735
56, 2280, 24.913563, 2063, 0, 14.655570
57, 2310, 24.976687, 2211, 0, 14.948420
58, 2314, 24.701515, 2217, 0, 14.808888
59, 2338, 24.857706, 2212, 0, 14.895200
60, 2350, 24.576086, 2299, 0, 14.911503
61, 2354, 24.794456, , 1, 15.203556
