Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 27.905736, 126, 0, 28.702788
1, 78, 28.138785, 81, 0, 21.656147
2, 86, 28.532614, 79, 0, 17.877806
3, 80, 28.851498, 71, 0, 16.707326
4, 84, 28.653115, 75, 0, 14.850415
5, 84, 29.516391, 74, 0, 14.514111
6, 90, 29.353676, 69, 0, 13.349293
7, 86, 29.452995, 61, 0, 13.196747
8, 86, 29.456463, 76, 0, 14.034522
9, 92, 29.186906, 69, 0, 14.677488
10, 86, 29.234716, 86, 0, 14.469038
11, 98, 28.602242, 77, 0, 16.857578
12, 94, 29.212634, 80, 0, 15.667396
13, 94, 29.168089, 78, 0, 15.628886
14, 96, 29.036162, 72, 0, 15.807687
15, 90, 28.928800, 75, 0, 15.075443
16, 96, 28.134229, 86, 0, 14.619671
17, 96, 27.894091, 84, 0, 13.794219
18, 102, 27.396540, 76, 0, 14.589427
19, 104, 27.769186, 93, 0, 14.944465
20, 118, 26.647037, 95, 0, 14.695266
21, 110, 26.159681, 85, 0, 14.057643
22, 110, 26.520761, 87, 0, 15.526167
23, 118, 26.914417, 94, 0, 15.579089
24, 126, 25.841429, 103, 0, 15.764073
25, 134, 26.479263, 103, 0, 15.351916
26, 138, 25.965175, 111, 0, 14.275753
27, 140, 26.050870, 114, 0, 14.901486
28, 144, 26.701911, 117, 0, 14.825693
29, 154, 26.133554, 127, 0, 15.616961
30, 166, 25.526334, 145, 0, 15.899297
31, 190, 24.697506, 153, 0, 16.025808
32, 196, 24.536704, 158, 0, 15.233132
33, 222, 25.174816, 176, 0, 14.809810
34, 230, 25.653031, 166, 0, 14.907558
35, 228, 24.941606, 168, 0, 14.383004
36, 230, 25.225269, 165, 0, 14.006692
37, 234, 25.131329, 177, 0, 14.684982
38, 248, 25.587904, 180, 0, 14.691759
39, 252, 25.464980, 186, 0, 14.605600
40, 250, 25.294903, 195, 0, 14.255215
41, 264, 25.240768, 204, 0, 14.365875
42, 262, 24.331177, 206, 0, 14.206053
43, 264, 25.008558, 204, 0, 14.229990
44, 260, 24.757876, 209, 0, 14.735556
45, 262, 24.759937, 221, 0, 14.564328
46, 278, 25.124816, 207, 0, 14.842861
47, 268, 24.787395, 218, 0, 15.262310
