Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.325099, 764, 0, 0.000000
1, 501, 0.658901, 695, 0, 0.000000
2, 501, 0.460031, 636, 0, 0.000000
3, 502, 0.352863, 661, 0, 0.000000
4, 502, 0.268222, 571, 0, 0.000000
5, 503, 0.279697, 592, 0, 0.000000
6, 503, 0.275531, 708, 0, 0.000000
7, 503, 0.271991, 623, 0, 0.000000
8, 504, 0.273238, 675, 0, 0.000000
9, 504, 0.281032, 748, 0, 0.000000
10, 504, 0.288947, 608, 0, 0.000000
11, 504, 0.291138, 548, 0, 0.000000
12, 505, 0.281852, 809, 0, 0.000000
13, 506, 0.289218, 700, 0, 0.000000
14, 507, 0.291882, 666, 0, 0.000000
15, 508, 0.292961, 637, 0, 0.000000
16, 508, 0.336002, 675, 0, 0.000000
17, 508, 0.364555, 685, 0, 0.000000
18, 508, 0.319007, 575, 0, 0.000000
19, 509, 0.271617, 678, 0, 0.000000
20, 509, 0.244534, 484, 0, 0.000000
21, 510, 0.226820, 584, 0, 0.000000
22, 510, 0.215849, 558, 0, 0.000000
23, 510, 0.214867, 733, 0, 0.000000
24, 510, 0.190300, 609, 0, 0.000000
25, 510, 0.208148, 674, 0, 0.000000
26, 511, 0.192804, 687, 0, 0.000000
27, 511, 0.186367, 633, 0, 0.000000
28, 512, 0.209961, 691, 0, 0.000000
29, 512, 0.191873, 658, 0, 0.000000
30, 512, 0.196695, 646, 0, 0.000000
31, 512, 0.180304, 733, 0, 0.000000
32, 513, 0.171805, 722, 0, 0.000000
33, 514, 0.174074, 818, 0, 0.000000
34, 515, 0.172990, 810, 0, 0.000000
35, 515, 0.201687, 1052, 0, 0.000000
36, 516, 0.184528, 965, 0, 0.000000
37, 516, 0.167189, 1100, 0, 0.000000
38, 517, 0.182841, 1062, 0, 0.000000
39, 518, 0.176346, 1035, 0, 0.000000
40, 518, 0.186904, 979, 0, 0.000000
41, 518, 0.191544, 1083, 0, 0.000000
42, 518, 0.176781, 1144, 0, 0.000000
43, 518, 0.178908, 1154, 0, 0.000000
44, 519, 0.172897, 1051, 0, 0.000000
45, 520, 0.179757, 1095, 0, 0.000000
46, 521, 0.189378, 1084, 0, 0.000000
47, 521, 0.201952, 1033, 0, 0.000000
48, 521, 0.206076, 992, 0, 0.000000
49, 522, 0.207359, 1117, 0, 0.000000
50, 522, 0.196312, 808, 0, 0.000000
51, 523, 0.235026, 818, 0, 0.000000
52, 523, 0.210610, 671, 0, 0.000000
53, 524, 0.212508, 732, 0, 0.000000
54, 525, 0.211789, 811, 0, 0.000000
55, 526, 0.205039, 747, 0, 0.000000
56, 526, 0.215188, 729, 0, 0.000000
57, 527, 0.210418, 774, 0, 0.000000
58, 528, 0.208251, 817, 0, 0.000000
59, 528, 0.212129, 811, 0, 0.000000
60, 529, 0.213072, 732, 0, 0.000000
61, 529, 0.230358, 795, 0, 0.000000
62, 530, 0.239888, 844, 0, 0.000000
63, 530, 0.205159, 841, 0, 0.000000
64, 531, 0.203724, 893, 0, 0.000000
65, 531, 0.202685, 780, 0, 0.000000
66, 531, 0.204550, 892, 0, 0.000000
67, 531, 0.224734, 892, 0, 0.000000
68, 531, 0.223022, 856, 0, 0.000000
69, 532, 0.208526, 714, 0, 0.000000
70, 533, 0.218544, 812, 0, 0.000000
71, 534, 0.228942, 763, 0, 0.000000
72, 534, 0.217711, 840, 0, 0.000000
73, 535, 0.216916, 656, 0, 0.000000
74, 535, 0.212077, 804, 0, 0.000000
75, 535, 0.216721, 779, 0, 0.000000
76, 535, 0.215837, 825, 0, 0.000000
77, 535, 0.217327, 789, 0, 0.000000
78, 535, 0.248922, 937, 0, 0.000000
79, 536, 0.214686, 796, 0, 0.000000
80, 537, 0.222222, 727, 0, 0.000000
81, 537, 0.213266, 775, 0, 0.000000
82, 537, 0.224465, 703, 0, 0.000000
83, 537, 0.225692, 807, 0, 0.000000
84, 537, 0.221515, 573, 0, 0.000000
85, 537, 0.245910, 618, 0, 0.000000
86, 538, 0.269350, 482, 0, 0.000000
87, 539, 0.326399, 519, 0, 0.000000
88, 540, 0.315078, 552, 0, 0.000000
89, 540, 0.307372, 572, 0, 0.000000
90, 540, 0.242765, 571, 0, 0.000000
91, 541, 0.258286, 508, 0, 0.000000
92, 542, 0.272906, 597, 0, 0.000000
93, 543, 0.234210, 453, 0, 0.000000
94, 544, 0.227710, 669, 0, 0.000000
95, 544, 0.227997, 617, 0, 0.000000
96, 545, 0.247139, 680, 0, 0.000000
97, 546, 0.285057, 588, 0, 0.000000
98, 546, 0.288539, 730, 0, 0.000000
99, 546, 0.290907, 608, 0, 0.000000
100, 547, 0.253845, 628, 0, 0.000000
101, 548, 0.276939, 716, 0, 0.000000
102, 548, 0.279378, 618, 0, 0.000000
103, 549, 0.204180, 838, 0, 0.000000
104, 550, 0.271051, 613, 0, 0.000000
105, 550, 0.277590, 728, 0, 0.000000
106, 550, 0.274340, 790, 0, 0.000000
107, 551, 0.235131, 676, 0, 0.000000
108, 551, 0.228299, 767, 0, 0.000000
109, 551, 0.198435, 698, 0, 0.000000
110, 551, 0.206735, 811, 0, 0.000000
111, 551, 0.229115, 765, 0, 0.000000
112, 551, 0.200180, 845, 0, 0.000000
113, 551, 0.207366, 876, 0, 0.000000
114, 551, 0.274929, 896, 0, 0.000000
115, 551, 0.219336, 640, 0, 0.000000
116, 551, 0.196794, 855, 0, 0.000000
117, 552, 0.240495, 805, 0, 0.000000
118, 552, 0.252124, 638, 0, 0.000000
119, 552, 0.198475, 795, 0, 0.000000
120, 553, 0.210001, 724, 0, 0.000000
121, 554, 0.222500, 789, 0, 0.000000
122, 554, 0.230291, 707, 0, 0.000000
123, 555, 0.213256, 749, 0, 0.000000
124, 555, 0.215251, 790, 0, 0.000000
125, 556, 0.234566, 735, 0, 0.000000
126, 556, 0.271562, 724, 0, 0.000000
127, 556, 0.229205, 907, 0, 0.000000
128, 557, 0.258810, 718, 0, 0.000000
129, 557, 0.222407, 910, 0, 0.000000
130, 558, 0.201354, 834, 0, 0.000000
131, 558, 0.237676, 714, 0, 0.000000
132, 558, 0.241688, 857, 0, 0.000000
133, 558, 0.275433, 771, 0, 0.000000
134, 558, 0.270089, 883, 0, 0.000000
135, 558, 0.271475, 907, 0, 0.000000
136, 559, 0.266481, 869, 0, 0.000000
137, 559, 0.262849, 862, 0, 0.000000
138, 559, 0.265963, 926, 0, 0.000000
139, 560, 0.266390, 851, 0, 0.000000
140, 560, 0.197238, 899, 0, 0.000000
141, 560, 0.254556, 927, 0, 0.000000
142, 560, 0.192943, 987, 0, 0.000000
143, 561, 0.192238, 921, 0, 0.000000
144, 562, 0.189799, 831, 0, 0.000000
145, 563, 0.197459, 940, 0, 0.000000
146, 563, 0.219874, 844, 0, 0.000000
147, 564, 0.229246, 858, 0, 0.000000
148, 565, 0.207201, 829, 0, 0.000000
149, 565, 0.202333, 1037, 0, 0.000000
150, 566, 0.200129, 849, 0, 0.000000
151, 567, 0.196270, 936, 0, 0.000000
152, 567, 0.220511, 883, 0, 0.000000
153, 568, 0.216273, 927, 0, 0.000000
154, 569, 0.253676, 894, 0, 0.000000
155, 569, 0.202850, 1009, 0, 0.000000
156, 570, 0.196721, 783, 0, 0.000000
157, 571, 0.284766, 928, 0, 0.000000
158, 572, 0.214533, 853, 0, 0.000000
159, 573, 0.194285, 892, 0, 0.000000
160, 573, 0.218020, 870, 0, 0.000000
161, 574, 0.200889, 856, 0, 0.000000
162, 575, 0.218919, 827, 0, 0.000000
163, 575, 0.204377, 880, 0, 0.000000
164, 575, 0.203133, 906, 0, 0.000000
165, 576, 0.284827, 1008, 0, 0.000000
166, 577, 0.209225, 723, 0, 0.000000
167, 577, 0.219873, 787, 0, 0.000000
168, 577, 0.201558, 766, 0, 0.000000
169, 578, 0.221455, 764, 0, 0.000000
170, 579, 0.207187, 759, 0, 0.000000
171, 579, 0.209923, 764, 0, 0.000000
172, 579, 0.209527, 788, 0, 0.000000
173, 580, 0.212301, 777, 0, 0.000000
174, 580, 0.218523, 832, 0, 0.000000
175, 581, 0.228535, 855, 0, 0.000000
176, 581, 0.231590, 793, 0, 0.000000
177, 582, 0.212337, 726, 0, 0.000000
178, 582, 0.216629, 529, 0, 0.000000
179, 583, 0.221354, 767, 0, 0.000000
180, 584, 0.243462, 628, 0, 0.000000
181, 584, 0.253920, 760, 0, 0.000000
182, 585, 0.245602, 736, 0, 0.000000
183, 586, 0.293410, 735, 0, 0.000000
184, 586, 0.214213, 786, 0, 0.000000
185, 586, 0.257013, 864, 0, 0.000000
186, 586, 0.233101, 722, 0, 0.000000
187, 586, 0.216795, 772, 0, 0.000000
