Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 19.685163, 279, 0, 27.957181
1, 316, 19.963845, 563, 0, 28.584456
2, 416, 19.899801, 447, 0, 28.455975
3, 526, 19.779574, 572, 0, 28.357984
4, 648, 19.803492, 672, 0, 27.729624
5, 772, 19.831811, 882, 0, 28.056164
6, 904, 19.921499, 900, 0, 28.277919
7, 1002, 19.624562, 1058, 0, 28.609286
8, 1142, 19.826608, 1387, 0, 28.608231
9, 1274, 19.638293, 1500, 0, 28.489649
10, 1384, 19.834101, 1472, 0, 28.599729
11, 1494, 19.837569, 1735, 0, 28.447669
12, 1622, 19.822422, 1818, 0, 28.426619
13, 1744, 19.752295, 2020, 0, 28.478257
14, 1888, 19.701903, 2236, 0, 28.245017
15, 2026, 19.554777, 2311, 0, 27.923791
16, 2110, 19.591903, 2299, 0, 28.044135
17, 2250, 19.629191, 2783, 0, 28.027594
18, 2334, 19.497827, 2596, 0, 27.917344
19, 2410, 19.416590, 2931, 0, 28.377479
20, 2504, 19.537107, 2627, 0, 28.411799
21, 2552, 19.315357, 2933, 0, 28.457110
22, 2658, 19.144479, 3211, 0, 28.346425
23, 2738, 19.154784, 3039, 0, 28.272960
24, 2802, 19.055626, 3317, 0, 28.273404
25, 2830, 19.014372, 3229, 0, 28.266102
26, 2914, 18.985094, 3461, 0, 27.819510
27, 2970, 18.871882, 3251, 0, 28.117010
28, 2992, 18.774689, 3504, 0, 27.974533
29, 3040, 18.825071, 3360, 0, 28.153742
30, 3108, 18.645650, 3385, 0, 28.333288
31, 3108, 18.587235, 3613, 0, 28.133055
32, 3156, 18.695400, 3670, 0, 28.015077
33, 3180, 18.543229, 3815, 0, 28.128445
34, 3190, 18.509710, 3506, 0, 28.217522
35, 3232, 18.466131, 3874, 0, 28.491362
36, 3270, 18.248024, 3720, 0, 28.529899
37, 3308, 18.030055, 3890, 0, 28.761740
38, 3318, 18.317338, 4067, 0, 28.388207
39, 3332, 18.237088, 3696, 0, 28.148392
40, 3338, 18.067357, 3942, 0, 27.905971
41, 3358, 18.013138, 3669, 0, 27.984761
42, 3334, 17.997024, 3814, 0, 27.984244
43, 3396, 17.907106, 3764, 0, 28.108656
44, 3434, 18.073618, 4086, 0, 28.306753
45, 3468, 17.991627, 3834, 0, 28.176752
46, 3476, 17.974586, 3879, 0, 28.252373
47, 3436, 17.883124, 3717, 0, 28.344756
48, 3494, 17.771820, 4006, 0, 28.790897
49, 3514, 17.775758, 3698, 0, 28.436879
50, 3552, 17.861802, 3974, 0, 28.302296
51, 3532, 17.839387, 3638, 0, 28.281929
52, 3504, 17.729068, 3939, 0, 28.324961
53, 3554, 17.734090, 3665, 0, 28.125522
54, 3566, 17.727886, 3933, 0, 27.961372
55, 3572, 17.778191, 3681, 0, 27.983675
56, 3568, 17.768663, 3979, 0, 28.319692
57, 3596, 17.623282, 3935, 0, 28.555083
58, 3624, 17.653723, , 1, 28.458140
