Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.134193, 341, 0, 0.000000
1, 501, 0.284148, 347, 0, 0.000000
2, 502, 0.312901, 331, 0, 0.000000
3, 503, 0.239405, 360, 0, 0.000000
4, 503, 0.214291, 336, 0, 0.000000
5, 503, 0.229367, 348, 0, 0.000000
6, 503, 0.252359, 362, 0, 0.000000
7, 503, 0.233994, 410, 0, 0.000000
8, 503, 0.212580, 368, 0, 0.000000
9, 503, 0.227562, 402, 0, 0.000000
10, 503, 0.316210, 309, 0, 0.000000
11, 504, 0.305611, 284, 0, 0.000000
12, 505, 0.303359, 354, 0, 0.000000
13, 506, 0.275274, 415, 0, 0.000000
14, 507, 0.234652, 417, 0, 0.000000
15, 507, 0.229350, 415, 0, 0.000000
16, 507, 0.274676, 477, 0, 0.000000
17, 507, 0.279844, 430, 0, 0.000000
18, 507, 0.255498, 464, 0, 0.000000
19, 508, 0.197944, 504, 0, 0.000000
20, 509, 0.152861, 528, 0, 0.000000
21, 509, 0.149300, 489, 0, 0.000000
22, 509, 0.153465, 529, 0, 0.000000
23, 509, 0.159462, 568, 0, 0.000000
24, 509, 0.152941, 484, 0, 0.000000
25, 510, 0.147052, 539, 0, 0.000000
26, 510, 0.145575, 567, 0, 0.000000
27, 511, 0.136661, 558, 0, 0.000000
28, 511, 0.148304, 536, 0, 0.000000
29, 512, 0.124944, 518, 0, 0.000000
30, 512, 0.140677, 552, 0, 0.000000
31, 513, 0.147273, 557, 0, 0.000000
32, 513, 0.137184, 560, 0, 0.000000
33, 514, 0.137527, 554, 0, 0.000000
34, 514, 0.144951, 630, 0, 0.000000
35, 514, 0.150806, 566, 0, 0.000000
36, 515, 0.140009, 648, 0, 0.000000
37, 516, 0.142414, 576, 0, 0.000000
38, 516, 0.128630, 634, 0, 0.000000
39, 517, 0.117672, 608, 0, 0.000000
40, 517, 0.099816, 618, 0, 0.000000
41, 517, 0.122049, 666, 0, 0.000000
42, 517, 0.117170, 673, 0, 0.000000
43, 517, 0.119501, 666, 0, 0.000000
44, 518, 0.106751, 700, 0, 0.000000
45, 519, 0.120028, 677, 0, 0.000000
46, 520, 0.119165, 703, 0, 0.000000
47, 520, 0.109983, 562, 0, 0.000000
48, 521, 0.121593, 659, 0, 0.000000
49, 521, 0.113145, 638, 0, 0.000000
50, 521, 0.129470, 684, 0, 0.000000
51, 522, 0.120144, 647, 0, 0.000000
52, 523, 0.104673, 705, 0, 0.000000
53, 524, 0.113337, 738, 0, 0.000000
54, 524, 0.105700, 742, 0, 0.000000
55, 525, 0.105225, 771, 0, 0.000000
56, 526, 0.096798, 713, 0, 0.000000
57, 526, 0.102433, 704, 0, 0.000000
58, 526, 0.104436, 691, 0, 0.000000
59, 526, 0.100764, 708, 0, 0.000000
60, 527, 0.102990, 691, 0, 0.000000
61, 528, 0.091780, 815, 0, 0.000000
62, 528, 0.092227, 790, 0, 0.000000
63, 528, 0.100036, 710, 0, 0.000000
64, 528, 0.084683, 753, 0, 0.000000
65, 528, 0.090659, 810, 0, 0.000000
66, 528, 0.089129, 808, 0, 0.000000
67, 528, 0.085268, 741, 0, 0.000000
68, 528, 0.085605, 807, 0, 0.000000
69, 528, 0.084191, 834, 0, 0.000000
70, 529, 0.094798, 778, 0, 0.000000
71, 530, 0.098792, 780, 0, 0.000000
72, 531, 0.094336, 773, 0, 0.000000
73, 532, 0.092894, 793, 0, 0.000000
74, 532, 0.085657, 797, 0, 0.000000
