Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 33.494586, 161, 0, 27.387354
1, 94, 32.968295, 103, 0, 25.732609
2, 96, 32.674265, 100, 0, 28.073277
3, 96, 32.657256, 106, 0, 27.602149
4, 108, 32.382834, 122, 0, 28.408774
5, 118, 32.446585, 131, 0, 28.394088
6, 118, 32.674329, 129, 0, 28.593464
7, 118, 32.610569, 154, 0, 28.816508
8, 130, 32.660724, 211, 0, 27.787587
9, 128, 32.431858, 156, 0, 27.498365
10, 136, 32.167527, 163, 0, 27.723504
11, 140, 32.071370, 154, 0, 28.235272
12, 148, 32.220467, 158, 0, 29.507647
13, 148, 32.114964, 164, 0, 28.681289
14, 148, 31.973692, 179, 0, 28.738849
15, 156, 32.227902, 288, 0, 28.192234
16, 148, 31.918969, 164, 0, 27.638434
17, 162, 32.065479, 146, 0, 26.998375
18, 160, 32.028157, 142, 0, 26.812348
19, 160, 31.871684, 151, 0, 27.555394
20, 172, 32.126483, 146, 0, 28.241945
21, 166, 32.070947, 145, 0, 28.501914
22, 168, 31.746322, 160, 0, 29.405752
23, 188, 31.583048, 221, 0, 29.854352
24, 196, 31.722950, 174, 0, 29.268292
25, 196, 31.477793, 168, 0, 28.854763
26, 202, 31.404130, 176, 0, 29.093300
27, 212, 31.080043, 182, 0, 27.950185
28, 216, 31.292820, 181, 0, 28.608248
29, 220, 31.188048, 227, 0, 28.798479
30, 214, 31.186455, 335, 0, 28.439913
31, 234, 30.733130, 214, 0, 28.837938
32, 252, 30.974381, 230, 0, 28.127591
33, 258, 30.672050, 232, 0, 28.231327
34, 280, 30.864236, 287, 0, 28.999882
35, 274, 30.143691, 274, 0, 28.669042
36, 286, 30.077950, 280, 0, 29.594018
37, 282, 30.225066, 263, 0, 28.405255
38, 286, 30.524981, 269, 0, 27.638421
39, 284, 30.562858, 261, 0, 27.982136
40, 272, 30.695769, 285, 0, 28.435627
41, 284, 30.211030, 414, 0, 29.220962
42, 284, 29.797194, 280, 0, 28.615543
43, 286, 29.977616, 300, 0, 27.757701
44, 308, 29.906714, 313, 0, 28.443011
45, 318, 29.852984, 317, 0, 27.792322
46, 320, 29.785464, 294, 0, 27.391675
47, 328, 29.771457, 334, 0, 27.925282
48, 334, 29.721424, 304, 0, 28.532098
49, 326, 29.664461, 299, 0, 27.909279
50, 336, 29.776108, 309, 0, 27.561751
51, 330, 29.599671, 436, 0, 26.619317
52, 332, 30.128737, 347, 0, 27.222496
53, 336, 30.542800, 320, 0, 27.630942
54, 334, 29.517273, 355, 0, 28.699253
55, 348, 29.844224, 338, 0, 28.583941
56, 340, 29.696318, 337, 0, 28.300209
57, 348, 30.000258, 336, 0, 28.017884
58, 338, 29.607287, 347, 0, 28.882643
59, 338, 29.511132, 336, 0, 28.465319
60, 340, 29.422537, 461, 0, 28.599046
61, 348, 29.723892, 371, 0, 29.383373
62, 366, 29.658661, 362, 0, 29.386725
63, 366, 29.377741, 370, 0, 28.574531
64, 366, 29.440524, 371, 0, 28.741556
65, 370, 29.236437, 394, 0, 29.294749
66, 390, 28.974200, 398, 0, 29.544641
67, 404, 28.882196, 372, 0, 28.671694
68, 392, 29.275078, 557, 0, 28.774721
69, 396, 28.377116, 433, 0, 29.429113
70, 404, 28.577238, 446, 0, 28.461663
71, 422, 28.468308, 455, 0, 27.967321
72, 430, 28.331791, 480, 0, 27.543220
73, 450, 27.816307, 438, 0, 27.582588
74, 442, 27.376671, 628, 0, 27.239670
75, 464, 27.332864, 525, 0, 27.380593
76, 486, 27.336284, 523, 0, 27.624852
77, 498, 27.493336, 535, 0, 27.974693
78, 502, 27.052080, 585, 0, 27.925826
79, 524, 27.404399, 679, 0, 27.832424
80, 544, 26.776940, 643, 0, 28.359528
81, 562, 26.343106, 686, 0, 27.923262
82, 598, 26.039776, 720, 0, 27.824532
83, 610, 25.880919, 694, 0, 28.235344
84, 614, 25.331530, 852, 0, 28.564660
85, 628, 24.840824, 750, 0, 28.073744
86, 668, 24.342566, 777, 0, 27.957901
87, 686, 24.569465, 941, 0, 28.597507
88, 694, 24.349161, 825, 0, 28.062302
89, 686, 24.215344, 808, 0, 28.361478
90, 690, 23.793657, 823, 0, 29.079145
91, 704, 24.100066, 1037, 0, 28.919975
92, 718, 23.517375, 888, 0, 28.235518
93, 746, 23.289779, 890, 0, 28.299631
94, 768, 23.709192, 1053, 0, 28.694774
95, 786, 23.619653, 923, 0, 28.624784
96, 798, 23.396209, 931, 0, 28.556640
97, 808, 23.145596, 1131, 0, 28.519962
98, 826, 22.988177, 977, 0, 28.129040
99, 824, 23.420463, 868, 0, 28.189874
100, 834, 23.512838, 1060, 0, 28.056005
101, 842, 23.397490, 983, 0, 28.193007
102, 858, 23.287994, 990, 0, 28.153950
103, 846, 23.184460, 1108, 0, 28.003732
104, 864, 23.112456, 977, 0, 28.051651
105, 860, 23.222314, , 1, 27.780568
