Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 28.315555, 132, 0, 28.067659
1, 84, 29.996320, 86, 0, 21.063217
2, 98, 30.629806, 87, 0, 16.530128
3, 108, 30.409266, 105, 0, 15.134592
4, 116, 29.983186, 102, 0, 14.205661
5, 114, 30.184200, 93, 0, 13.618262
6, 116, 30.513851, 91, 0, 14.215416
7, 122, 30.478592, 103, 0, 14.690662
8, 128, 31.016025, 100, 0, 14.354624
9, 134, 30.852599, 104, 0, 13.982492
10, 132, 31.752142, 110, 0, 14.595055
11, 132, 31.283879, 108, 0, 14.984059
12, 130, 31.203513, 102, 0, 14.295541
13, 134, 31.164202, 110, 0, 14.487411
14, 138, 30.874144, 104, 0, 14.192536
15, 130, 31.169682, 107, 0, 14.637337
16, 140, 31.340295, 113, 0, 14.762058
17, 138, 31.334014, 124, 0, 14.445054
18, 150, 31.001487, 120, 0, 14.411592
19, 154, 31.047010, 116, 0, 15.135293
20, 152, 30.805146, 117, 0, 15.785022
21, 154, 31.059426, 116, 0, 15.145274
22, 146, 31.613811, 121, 0, 15.473760
23, 164, 30.855551, 129, 0, 15.814190
24, 154, 30.675153, 126, 0, 15.643769
25, 150, 31.145191, 136, 0, 13.982971
26, 166, 31.177771, 142, 0, 14.272330
27, 170, 30.962539, 139, 0, 14.625023
28, 158, 31.375399, 136, 0, 14.325001
29, 160, 30.553444, 153, 0, 14.401685
30, 162, 30.968624, 149, 0, 14.582161
31, 170, 31.019784, 154, 0, 14.859387
32, 168, 30.973897, 159, 0, 16.196517
33, 174, 30.680547, 152, 0, 15.897429
34, 176, 30.919492, 162, 0, 15.730846
35, 180, 30.864357, 156, 0, 14.355324
36, 186, 31.256367, 166, 0, 13.690100
37, 180, 31.022407, 160, 0, 13.734021
38, 180, 30.797217, 161, 0, 13.677425
39, 184, 31.175775, 163, 0, 13.785978
40, 186, 31.561450, 175, 0, 14.245820
41, 188, 31.821410, 171, 0, 15.732270
42, 190, 31.261475, 168, 0, 16.039146
43, 188, 31.388188, 182, 0, 15.730587
44, 202, 31.614548, 189, 0, 15.679998
45, 210, 31.843219, 202, 0, 14.818426
46, 222, 31.926719, 204, 0, 15.176666
47, 220, 31.847307, 213, 0, 15.568620
48, 230, 32.018526, 229, 0, 15.392678
49, 236, 31.919547, 230, 0, 16.058900
50, 238, 31.632255, 228, 0, 15.813641
51, 244, 31.717694, 220, 0, 15.100339
52, 234, 32.067176, 204, 0, 14.148956
53, 236, 31.910347, 225, 0, 14.732172
54, 242, 31.401233, 219, 0, 14.324108
55, 250, 31.593587, 243, 0, 14.400398
56, 264, 31.912421, 237, 0, 13.775042
57, 258, 31.430587, 234, 0, 14.533248
58, 258, 31.614753, 253, 0, 14.554179
59, 264, 31.148561, 265, 0, 14.745537
60, 278, 31.466139, 251, 0, 15.282240
61, 278, 31.738413, 262, 0, 14.886603
62, 278, 31.609207, 246, 0, 14.272184
63, 270, 31.317798, 256, 0, 14.850900
64, 278, 31.240231, 260, 0, 14.474585
65, 280, 31.288274, 273, 0, 14.490705
66, 294, 30.916041, 275, 0, 14.554986
67, 296, 31.305452, 266, 0, 14.756813
68, 286, 31.198640, 272, 0, 13.895971
69, 292, 31.083713, 268, 0, 13.988323
70, 282, 31.817734, 274, 0, 14.823490
71, 292, 31.144748, 274, 0, 15.377347
72, 276, 31.339776, 278, 0, 14.409832
73, 286, 31.052926, 298, 0, 14.486725
74, 296, 31.194247, 284, 0, 15.216267
75, 288, 31.543418, 295, 0, 15.283335
76, 302, 31.104473, 277, 0, 14.473834
77, 290, 31.386419, 297, 0, 13.761756
