Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.467069, 550, 0, 0.000000
1, 500, 0.623672, 586, 0, 0.000000
2, 500, 0.550525, 592, 0, 0.000000
3, 500, 0.425511, 673, 0, 0.000000
4, 500, 0.387533, 698, 0, 0.000000
5, 500, 0.408417, 677, 0, 0.000000
6, 501, 0.438445, 597, 0, 0.000000
7, 501, 0.534176, 495, 0, 0.000000
8, 502, 0.560766, 568, 0, 0.000000
9, 502, 0.517451, 652, 0, 0.000000
10, 503, 0.452892, 586, 0, 0.000000
11, 503, 0.382819, 604, 0, 0.000000
12, 504, 0.328363, 536, 0, 0.000000
13, 504, 0.252187, 571, 0, 0.000000
14, 505, 0.292835, 486, 0, 0.000000
15, 506, 0.288922, 564, 0, 0.000000
16, 507, 0.292117, 617, 0, 0.000000
17, 507, 0.273715, 551, 0, 0.000000
18, 508, 0.271867, 692, 0, 0.000000
19, 508, 0.269546, 570, 0, 0.000000
20, 508, 0.274774, 580, 0, 0.000000
21, 509, 0.274708, 536, 0, 0.000000
22, 510, 0.285174, 731, 0, 0.000000
23, 510, 0.246547, 686, 0, 0.000000
24, 510, 0.210054, 646, 0, 0.000000
25, 510, 0.217200, 669, 0, 0.000000
26, 510, 0.212277, 610, 0, 0.000000
27, 510, 0.240841, 598, 0, 0.000000
28, 511, 0.240375, 620, 0, 0.000000
29, 511, 0.255711, 649, 0, 0.000000
30, 511, 0.251889, 629, 0, 0.000000
31, 511, 0.246961, 636, 0, 0.000000
32, 512, 0.249935, 682, 0, 0.000000
33, 512, 0.248396, 606, 0, 0.000000
34, 512, 0.239743, 653, 0, 0.000000
35, 513, 0.259435, 646, 0, 0.000000
36, 514, 0.238832, 595, 0, 0.000000
37, 515, 0.245271, 621, 0, 0.000000
38, 515, 0.252528, 557, 0, 0.000000
39, 515, 0.245166, 441, 0, 0.000000
40, 515, 0.263070, 561, 0, 0.000000
41, 515, 0.254341, 502, 0, 0.000000
42, 516, 0.204635, 735, 0, 0.000000
43, 517, 0.182543, 591, 0, 0.000000
44, 518, 0.175802, 700, 0, 0.000000
45, 518, 0.210326, 593, 0, 0.000000
46, 518, 0.203141, 642, 0, 0.000000
47, 519, 0.187851, 729, 0, 0.000000
48, 520, 0.210263, 653, 0, 0.000000
49, 521, 0.199185, 682, 0, 0.000000
50, 521, 0.209741, 612, 0, 0.000000
51, 521, 0.217998, 570, 0, 0.000000
52, 522, 0.201696, 732, 0, 0.000000
53, 523, 0.226801, 581, 0, 0.000000
54, 524, 0.228190, 539, 0, 0.000000
55, 525, 0.248321, 561, 0, 0.000000
56, 525, 0.261599, 504, 0, 0.000000
57, 525, 0.279590, 655, 0, 0.000000
58, 525, 0.257128, 458, 0, 0.000000
59, 525, 0.260248, 531, 0, 0.000000
60, 525, 0.269980, 664, 0, 0.000000
61, 525, 0.246936, 515, 0, 0.000000
62, 525, 0.266520, 645, 0, 0.000000
63, 526, 0.271728, 517, 0, 0.000000
64, 527, 0.250093, 523, 0, 0.000000
65, 528, 0.235744, 609, 0, 0.000000
66, 528, 0.252263, 586, 0, 0.000000
67, 529, 0.252337, 674, 0, 0.000000
68, 529, 0.252365, 537, 0, 0.000000
69, 529, 0.256091, 655, 0, 0.000000
70, 529, 0.247532, 573, 0, 0.000000
71, 529, 0.258099, 599, 0, 0.000000
72, 529, 0.227230, 689, 0, 0.000000
73, 529, 0.245137, 587, 0, 0.000000
74, 529, 0.227070, 647, 0, 0.000000
75, 530, 0.229638, 632, 0, 0.000000
76, 530, 0.200439, 771, 0, 0.000000
77, 530, 0.205773, 660, 0, 0.000000
78, 530, 0.215907, 604, 0, 0.000000
79, 531, 0.228889, 633, 0, 0.000000
80, 531, 0.227561, 625, 0, 0.000000
81, 532, 0.243204, 614, 0, 0.000000
82, 533, 0.235506, 698, 0, 0.000000
83, 534, 0.226240, 627, 0, 0.000000
84, 535, 0.210171, , 1, 0.000000
