Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.252867, 498, 0, 0.000000
1, 501, 0.439745, 643, 0, 0.000000
2, 502, 0.326121, 586, 0, 0.000000
3, 502, 0.233500, 495, 0, 0.000000
4, 502, 0.202484, 513, 0, 0.000000
5, 503, 0.206335, 477, 0, 0.000000
6, 504, 0.283194, 568, 0, 0.000000
7, 505, 0.266903, 468, 0, 0.000000
8, 506, 0.260551, 585, 0, 0.000000
9, 507, 0.266591, 413, 0, 0.000000
10, 508, 0.270312, 399, 0, 0.000000
11, 508, 0.240936, 418, 0, 0.000000
12, 508, 0.238476, 496, 0, 0.000000
13, 508, 0.334795, 403, 0, 0.000000
14, 509, 0.321756, 548, 0, 0.000000
15, 510, 0.312107, 457, 0, 0.000000
16, 511, 0.345538, 461, 0, 0.000000
17, 512, 0.340674, 469, 0, 0.000000
18, 512, 0.336828, 491, 0, 0.000000
19, 512, 0.327652, , 1, 0.000000
